"1999 - 2000 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,15-HAWAII,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,HI,HI Total Mig - US & For,24402,50428,833436"
"97,HI,HI Total Mig - US,22298,46440,776840"
"98,HI,HI Total Mig - Foreign,2104,3988,56596"
"15,HI,HI Non-Migrants,427734,899952,19030221"
"06,CA,CALIFORNIA,5536,10129,193336"
"57,FR,Foreign,2104,3988,56596"
"53,WA,WASHINGTON,1712,3628,61592"
"32,NV,NEVADA,1550,2988,44646"
"48,TX,TEXAS,1433,3283,49895"
"12,FL,FLORIDA,1072,2235,49055"
"51,VA,VIRGINIA,1067,2779,47727"
"37,NC,NORTH CAROLINA,655,1663,19695"
"13,GA,GEORGIA,643,1600,22913"
"04,AZ,ARIZONA,621,1285,25759"
"08,CO,COLORADO,603,1174,19738"
"41,OR,OREGON,600,1116,18390"
"36,NY,NEW YORK,589,1014,16092"
"24,MD,MARYLAND,498,1223,25197"
"17,IL,ILLINOIS,381,741,12475"
"42,PA,PENNSYLVANIA,299,598,11046"
"47,TN,TENNESSEE,299,788,10417"
"49,UT,UTAH,299,745,9277"
"39,OH,OHIO,274,531,7910"
"26,MI,MICHIGAN,258,470,7138"
"45,SC,SOUTH CAROLINA,252,609,7882"
"29,MO,MISSOURI,241,514,7052"
"22,LA,LOUISIANA,233,574,7184"
"40,OK,OKLAHOMA,228,592,7055"
"25,MA,MASSACHUSETTS,221,386,6890"
"02,AK,ALASKA,213,440,6934"
"01,AL,ALABAMA,197,526,7542"
"34,NJ,NEW JERSEY,194,346,6025"
"21,KY,KENTUCKY,189,429,4763"
"20,KS,KANSAS,176,417,6044"
"35,NM,NEW MEXICO,176,349,5755"
"27,MN,MINNESOTA,169,303,5839"
"55,WI,WISCONSIN,157,307,4401"
"09,CT,CONNECTICUT,152,363,5045"
"18,IN,INDIANA,140,285,4373"
"05,AR,ARKANSAS,119,275,3513"
"31,NE,NEBRASKA,85,169,2619"
"16,ID,IDAHO,82,178,2603"
"28,MS,MISSISSIPPI,82,192,2440"
"30,MT,MONTANA,82,149,2960"
"19,IA,IOWA,78,146,2109"
"11,DC,DISTRICT OF COLUMBIA,74,143,3293"
"44,RI,RHODE ISLAND,72,176,3725"
"23,ME,MAINE,59,113,1553"
"33,NH,NEW HAMPSHIRE,43,68,1355"
"10,DE,DELAWARE,34,75,1123"
"46,SD,SOUTH DAKOTA,34,72,912"
"54,WV,WEST VIRGINIA,34,57,729"
"38,ND,NORTH DAKOTA,32,78,1019"
"56,WY,WYOMING,32,66,960"
"50,VT,VERMONT,29,53,844"
