"1999 - 2000 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,20-KANSAS,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,KS,KS Total Mig - US & For,41324,83866,1757923"
"97,KS,KS Total Mig - US,40071,81006,1715222"
"98,KS,KS Total Mig - Foreign,1253,2860,42701"
"20,KS,KS Non-Migrants,926079,2102999,44744618"
"29,MO,MISSOURI,9510,17512,349606"
"48,TX,TEXAS,4362,9505,197113"
"40,OK,OKLAHOMA,2623,5609,88799"
"08,CO,COLORADO,2380,4680,107708"
"06,CA,CALIFORNIA,2282,4098,89474"
"12,FL,FLORIDA,1497,2866,84761"
"31,NE,NEBRASKA,1253,2603,43480"
"57,FR,Foreign,1253,2860,42701"
"17,IL,ILLINOIS,1250,2571,62173"
"04,AZ,ARIZONA,1201,2340,66853"
"13,GA,GEORGIA,909,2047,39758"
"05,AR,ARKANSAS,790,1754,27040"
"19,IA,IOWA,768,1631,31955"
"51,VA,VIRGINIA,704,1591,33987"
"37,NC,NORTH CAROLINA,689,1468,31127"
"53,WA,WASHINGTON,687,1404,30684"
"39,OH,OHIO,643,1418,31050"
"18,IN,INDIANA,632,1366,31726"
"27,MN,MINNESOTA,566,1158,30941"
"36,NY,NEW YORK,549,992,21244"
"26,MI,MICHIGAN,512,1045,22252"
"47,TN,TENNESSEE,507,1117,23436"
"42,PA,PENNSYLVANIA,418,880,27231"
"21,KY,KENTUCKY,380,905,13258"
"55,WI,WISCONSIN,380,846,17462"
"35,NM,NEW MEXICO,378,811,13815"
"32,NV,NEVADA,364,669,19377"
"41,OR,OREGON,326,596,12965"
"01,AL,ALABAMA,313,763,11481"
"24,MD,MARYLAND,292,624,13793"
"22,LA,LOUISIANA,275,576,9115"
"34,NJ,NEW JERSEY,264,548,21107"
"25,MA,MASSACHUSETTS,255,492,13870"
"45,SC,SOUTH CAROLINA,254,534,10199"
"49,UT,UTAH,199,400,6141"
"28,MS,MISSISSIPPI,192,433,5702"
"46,SD,SOUTH DAKOTA,170,381,6277"
"15,HI,HAWAII,167,421,6160"
"56,WY,WYOMING,162,364,22555"
"16,ID,IDAHO,151,366,4768"
"30,MT,MONTANA,142,300,4615"
"09,CT,CONNECTICUT,140,278,12247"
"02,AK,ALASKA,104,224,3319"
"38,ND,NORTH DAKOTA,85,168,2578"
"23,ME,MAINE,72,128,2376"
"11,DC,DISTRICT OF COLUMBIA,62,86,1810"
"33,NH,NEW HAMPSHIRE,61,123,2052"
"54,WV,WEST VIRGINIA,57,128,1518"
"10,DE,DELAWARE,35,71,1832"
"50,VT,VERMONT,32,48,1235"
"44,RI,RHODE ISLAND,27,68,1195"
