"1999 - 2000 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,24-MARYLAND,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,MD,MD Total Mig - US & For,74201,137591,3800414"
"97,MD,MD Total Mig - US,71180,131349,3679816"
"98,MD,MD Total Mig - Foreign,3021,6242,120597"
"24,MD,MD Non-Migrants,1933331,4148375,109828679"
"51,VA,VIRGINIA,12450,22303,670513"
"11,DC,DISTRICT OF COLUMBIA,6883,11705,307419"
"42,PA,PENNSYLVANIA,6611,12752,312672"
"12,FL,FLORIDA,6079,11256,406475"
"06,CA,CALIFORNIA,4058,6800,228195"
"36,NY,NEW YORK,3487,5532,163323"
"37,NC,NORTH CAROLINA,3354,6510,145388"
"57,FR,Foreign,3021,6242,120597"
"10,DE,DELAWARE,2618,4793,105139"
"48,TX,TEXAS,2552,5245,130077"
"13,GA,GEORGIA,2122,4239,107470"
"54,WV,WEST VIRGINIA,2031,4117,72863"
"34,NJ,NEW JERSEY,1892,3461,112580"
"45,SC,SOUTH CAROLINA,1392,2670,59444"
"25,MA,MASSACHUSETTS,1325,2169,85411"
"39,OH,OHIO,1272,2451,62095"
"08,CO,COLORADO,1089,1912,63869"
"17,IL,ILLINOIS,1087,2073,66501"
"04,AZ,ARIZONA,867,1619,50086"
"47,TN,TENNESSEE,813,1590,37175"
"53,WA,WASHINGTON,805,1549,45063"
"26,MI,MICHIGAN,782,1506,45386"
"09,CT,CONNECTICUT,648,1243,47388"
"29,MO,MISSOURI,455,964,26003"
"27,MN,MINNESOTA,413,796,23982"
"01,AL,ALABAMA,408,867,17638"
"21,KY,KENTUCKY,406,814,18192"
"18,IN,INDIANA,400,794,17806"
"15,HI,HAWAII,387,801,23220"
"22,LA,LOUISIANA,356,682,15284"
"55,WI,WISCONSIN,343,672,23752"
"32,NV,NEVADA,336,584,15867"
"33,NH,NEW HAMPSHIRE,298,563,20273"
"40,OK,OKLAHOMA,286,561,10277"
"41,OR,OREGON,276,472,11671"
"23,ME,MAINE,271,588,17581"
"44,RI,RHODE ISLAND,259,443,10660"
"35,NM,NEW MEXICO,253,492,14008"
"28,MS,MISSISSIPPI,243,515,9420"
"20,KS,KANSAS,232,532,15692"
"49,UT,UTAH,230,467,10115"
"05,AR,ARKANSAS,163,368,8847"
"19,IA,IOWA,154,335,10022"
"31,NE,NEBRASKA,150,336,7128"
"50,VT,VERMONT,148,247,7059"
"02,AK,ALASKA,127,249,4273"
"16,ID,IDAHO,110,219,6279"
"30,MT,MONTANA,80,167,2738"
"56,WY,WYOMING,76,141,4282"
"46,SD,SOUTH DAKOTA,52,103,1949"
"38,ND,NORTH DAKOTA,51,82,1267"
