"1999 - 2000 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,25-MASSACHUSETTS,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,MA,MA Total Mig - US & For,74231,122923,4031878"
"97,MA,MA Total Mig - US,71388,118144,3917516"
"98,MA,MA Total Mig - Foreign,2843,4779,114361"
"25,MA,MA Non-Migrants,2383711,4899366,146261918"
"33,NH,NEW HAMPSHIRE,9367,17310,502351"
"12,FL,FLORIDA,8194,14336,458404"
"36,NY,NEW YORK,7465,10529,404859"
"06,CA,CALIFORNIA,7079,10066,442244"
"44,RI,RHODE ISLAND,4292,7184,189782"
"09,CT,CONNECTICUT,4234,6985,231682"
"57,FR,Foreign,2843,4779,114361"
"23,ME,MAINE,2696,4803,128768"
"34,NJ,NEW JERSEY,2279,3714,144227"
"51,VA,VIRGINIA,2169,3621,146839"
"42,PA,PENNSYLVANIA,2096,3667,119093"
"48,TX,TEXAS,1922,3538,123268"
"37,NC,NORTH CAROLINA,1649,2861,80741"
"13,GA,GEORGIA,1602,2845,83988"
"50,VT,VERMONT,1377,2183,63730"
"24,MD,MARYLAND,1375,2331,75747"
"17,IL,ILLINOIS,1368,2134,90313"
"04,AZ,ARIZONA,1285,2082,87641"
"08,CO,COLORADO,1177,1686,56330"
"53,WA,WASHINGTON,989,1464,55951"
"39,OH,OHIO,915,1689,56548"
"26,MI,MICHIGAN,746,1297,41042"
"11,DC,DISTRICT OF COLUMBIA,646,762,29513"
"45,SC,SOUTH CAROLINA,636,1118,27676"
"27,MN,MINNESOTA,485,859,30479"
"47,TN,TENNESSEE,457,824,22320"
"41,OR,OREGON,441,706,23274"
"18,IN,INDIANA,403,766,22578"
"29,MO,MISSOURI,389,710,21484"
"55,WI,WISCONSIN,384,649,23442"
"32,NV,NEVADA,383,593,13448"
"35,NM,NEW MEXICO,268,416,10608"
"15,HI,HAWAII,244,350,9909"
"01,AL,ALABAMA,233,446,10524"
"22,LA,LOUISIANA,230,350,7643"
"21,KY,KENTUCKY,227,424,10359"
"20,KS,KANSAS,195,374,10610"
"49,UT,UTAH,195,351,10097"
"10,DE,DELAWARE,167,294,8172"
"40,OK,OKLAHOMA,159,277,5276"
"19,IA,IOWA,149,221,5651"
"02,AK,ALASKA,134,209,3838"
"30,MT,MONTANA,114,145,2962"
"28,MS,MISSISSIPPI,113,197,5098"
"16,ID,IDAHO,88,141,4735"
"31,NE,NEBRASKA,83,157,3662"
"05,AR,ARKANSAS,81,148,3537"
"54,WV,WEST VIRGINIA,74,134,3390"
"56,WY,WYOMING,74,99,2121"
"38,ND,NORTH DAKOTA,37,62,985"
"46,SD,SOUTH DAKOTA,23,37,576"
