"1999 - 2000 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,30-MONTANA,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,MT,MT Total Mig - US & For,15684,28531,465491"
"97,MT,MT Total Mig - US,15215,27748,455293"
"98,MT,MT Total Mig - Foreign,469,783,10197"
"30,MT,MT Non-Migrants,310913,685077,11551992"
"53,WA,WASHINGTON,2045,3551,52957"
"06,CA,CALIFORNIA,1436,2363,36480"
"08,CO,COLORADO,1028,1890,37302"
"41,OR,OREGON,1000,1755,23850"
"16,ID,IDAHO,948,1960,39345"
"04,AZ,ARIZONA,816,1418,25699"
"56,WY,WYOMING,705,1444,19589"
"48,TX,TEXAS,614,1195,19202"
"27,MN,MINNESOTA,501,869,14610"
"32,NV,NEVADA,489,885,15538"
"57,FR,Foreign,469,783,10197"
"49,UT,UTAH,460,910,12273"
"38,ND,NORTH DAKOTA,448,854,10744"
"12,FL,FLORIDA,345,632,14544"
"02,AK,ALASKA,339,625,10168"
"46,SD,SOUTH DAKOTA,315,605,8654"
"55,WI,WISCONSIN,244,446,6859"
"37,NC,NORTH CAROLINA,214,341,5516"
"17,IL,ILLINOIS,210,377,5856"
"35,NM,NEW MEXICO,196,367,5021"
"26,MI,MICHIGAN,193,307,4450"
"51,VA,VIRGINIA,183,348,5320"
"36,NY,NEW YORK,179,277,4485"
"42,PA,PENNSYLVANIA,158,281,3793"
"29,MO,MISSOURI,155,350,4819"
"40,OK,OKLAHOMA,151,305,3839"
"39,OH,OHIO,149,277,3876"
"13,GA,GEORGIA,148,284,3663"
"31,NE,NEBRASKA,145,313,4485"
"20,KS,KANSAS,130,284,4266"
"19,IA,IOWA,123,234,3726"
"47,TN,TENNESSEE,109,200,2389"
"25,MA,MASSACHUSETTS,106,141,2313"
"18,IN,INDIANA,95,196,2762"
"15,HI,HAWAII,84,141,2147"
"24,MD,MARYLAND,79,127,2023"
"45,SC,SOUTH CAROLINA,79,149,2196"
"22,LA,LOUISIANA,73,129,1864"
"01,AL,ALABAMA,67,143,2061"
"34,NJ,NEW JERSEY,66,96,1591"
"21,KY,KENTUCKY,64,103,1362"
"05,AR,ARKANSAS,50,106,900"
"33,NH,NEW HAMPSHIRE,49,71,3292"
"50,VT,VERMONT,43,56,1092"
"09,CT,CONNECTICUT,39,64,1281"
"28,MS,MISSISSIPPI,37,73,1083"
"23,ME,MAINE,36,64,694"
"54,WV,WEST VIRGINIA,33,76,813"
"10,DE,DELAWARE,14,28,13746"
"11,DC,DISTRICT OF COLUMBIA,14,20,336"
"44,RI,RHODE ISLAND,11,18,418"
