"1999 - 2000 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,33-NEW HAMPSHIRE,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,NH,NH Total Mig - US & For,20837,35456,976081"
"97,NH,NH Total Mig - US,20469,34830,963418"
"98,NH,NH Total Mig - Foreign,368,626,12664"
"33,NH,NH Non-Migrants,466405,1004369,25601656"
"25,MA,MASSACHUSETTS,5834,9163,296518"
"23,ME,MAINE,2102,3783,82540"
"12,FL,FLORIDA,2062,3646,111826"
"50,VT,VERMONT,1274,2229,40997"
"06,CA,CALIFORNIA,1026,1562,55723"
"36,NY,NEW YORK,1008,1630,42552"
"09,CT,CONNECTICUT,597,1014,29977"
"51,VA,VIRGINIA,533,943,25174"
"37,NC,NORTH CAROLINA,473,868,20077"
"04,AZ,ARIZONA,422,781,21861"
"48,TX,TEXAS,420,829,21988"
"42,PA,PENNSYLVANIA,408,785,19572"
"57,FR,Foreign,368,626,12664"
"08,CO,COLORADO,346,533,15715"
"44,RI,RHODE ISLAND,320,488,13947"
"34,NJ,NEW JERSEY,314,556,15998"
"13,GA,GEORGIA,313,623,14186"
"39,OH,OHIO,245,446,11630"
"45,SC,SOUTH CAROLINA,243,429,10362"
"24,MD,MARYLAND,232,413,13392"
"53,WA,WASHINGTON,206,318,7415"
"17,IL,ILLINOIS,189,307,8861"
"26,MI,MICHIGAN,170,335,8205"
"47,TN,TENNESSEE,121,244,5133"
"32,NV,NEVADA,108,180,3583"
"41,OR,OREGON,108,156,4805"
"29,MO,MISSOURI,104,219,4031"
"18,IN,INDIANA,103,218,4651"
"55,WI,WISCONSIN,96,196,5259"
"27,MN,MINNESOTA,89,154,4446"
"49,UT,UTAH,84,165,3090"
"35,NM,NEW MEXICO,77,136,3502"
"15,HI,HAWAII,69,104,2739"
"02,AK,ALASKA,66,103,1954"
"21,KY,KENTUCKY,64,131,2555"
"30,MT,MONTANA,59,83,3679"
"40,OK,OKLAHOMA,58,122,2156"
"01,AL,ALABAMA,57,110,2020"
"22,LA,LOUISIANA,57,105,2532"
"11,DC,DISTRICT OF COLUMBIA,51,56,1513"
"10,DE,DELAWARE,49,77,2203"
"20,KS,KANSAS,46,107,2214"
"05,AR,ARKANSAS,44,96,2131"
"16,ID,IDAHO,38,66,1509"
"54,WV,WEST VIRGINIA,35,59,972"
"56,WY,WYOMING,33,47,2012"
"28,MS,MISSISSIPPI,31,70,1458"
"19,IA,IOWA,29,46,1035"
"31,NE,NEBRASKA,25,38,792"
"46,SD,SOUTH DAKOTA,20,38,2501"
"38,ND,NORTH DAKOTA,11,23,428"
