"1999 - 2000 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,39-OHIO,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,OH,OH Total Mig - US & For,98701,180953,4704308"
"97,OH,OH Total Mig - US,96383,176990,4624658"
"98,OH,OH Total Mig - Foreign,2318,3963,79650"
"39,OH,OH Non-Migrants,4402841,9149455,197952695"
"12,FL,FLORIDA,11745,20916,687718"
"21,KY,KENTUCKY,6690,12667,236446"
"26,MI,MICHIGAN,6574,12830,334519"
"18,IN,INDIANA,5853,11616,247275"
"06,CA,CALIFORNIA,5768,9071,294458"
"42,PA,PENNSYLVANIA,4944,9264,224233"
"17,IL,ILLINOIS,4507,7912,258128"
"37,NC,NORTH CAROLINA,4327,8000,210816"
"48,TX,TEXAS,4294,8314,219489"
"13,GA,GEORGIA,3847,7282,175370"
"51,VA,VIRGINIA,3271,5879,145378"
"36,NY,NEW YORK,3147,5088,136632"
"54,WV,WEST VIRGINIA,2896,5685,73030"
"47,TN,TENNESSEE,2853,5617,122786"
"04,AZ,ARIZONA,2522,4347,114286"
"57,FR,Foreign,2318,3963,79650"
"45,SC,SOUTH CAROLINA,2195,4131,104661"
"08,CO,COLORADO,2124,3440,106006"
"24,MD,MARYLAND,1577,2803,76222"
"25,MA,MASSACHUSETTS,1399,2239,78809"
"34,NJ,NEW JERSEY,1276,2313,82423"
"53,WA,WASHINGTON,1214,2107,63322"
"29,MO,MISSOURI,1166,2326,57321"
"55,WI,WISCONSIN,1126,2279,65706"
"32,NV,NEVADA,1076,1790,40028"
"01,AL,ALABAMA,1044,2153,39882"
"27,MN,MINNESOTA,876,1729,50623"
"09,CT,CONNECTICUT,653,1215,48781"
"40,OK,OKLAHOMA,612,1249,20800"
"22,LA,LOUISIANA,576,1109,25412"
"20,KS,KANSAS,574,1189,29980"
"41,OR,OREGON,568,909,23706"
"28,MS,MISSISSIPPI,452,928,15446"
"35,NM,NEW MEXICO,447,791,17593"
"19,IA,IOWA,435,863,29927"
"49,UT,UTAH,395,789,16768"
"05,AR,ARKANSAS,387,799,5997"
"11,DC,DISTRICT OF COLUMBIA,305,367,10827"
"33,NH,NEW HAMPSHIRE,292,592,19306"
"23,ME,MAINE,279,507,13683"
"15,HI,HAWAII,276,465,9095"
"31,NE,NEBRASKA,260,553,10855"
"30,MT,MONTANA,230,392,7057"
"10,DE,DELAWARE,217,447,12589"
"02,AK,ALASKA,214,372,6082"
"16,ID,IDAHO,197,357,12541"
"44,RI,RHODE ISLAND,186,328,9990"
"56,WY,WYOMING,159,275,17441"
"50,VT,VERMONT,130,266,5989"
"46,SD,SOUTH DAKOTA,121,233,5337"
"38,ND,NORTH DAKOTA,107,197,3887"
