"1999 - 2000 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,44-RHODE ISLAND,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,RI,RI Total Mig - US & For,13414,23219,661458"
"97,RI,RI Total Mig - US,13032,22451,646934"
"98,RI,RI Total Mig - Foreign,382,768,14524"
"44,RI,RI Non-Migrants,373348,770064,18022180"
"25,MA,MASSACHUSETTS,3696,5968,175690"
"12,FL,FLORIDA,1547,2788,79892"
"09,CT,CONNECTICUT,1075,1779,41053"
"36,NY,NEW YORK,852,1259,29604"
"06,CA,CALIFORNIA,749,1173,34013"
"51,VA,VIRGINIA,530,1209,24337"
"57,FR,Foreign,382,768,14524"
"33,NH,NEW HAMPSHIRE,357,603,16521"
"34,NJ,NEW JERSEY,326,556,15846"
"48,TX,TEXAS,305,575,12605"
"37,NC,NORTH CAROLINA,296,552,11964"
"42,PA,PENNSYLVANIA,271,516,12698"
"23,ME,MAINE,266,517,11662"
"24,MD,MARYLAND,253,423,11094"
"13,GA,GEORGIA,240,468,8810"
"04,AZ,ARIZONA,160,255,6262"
"08,CO,COLORADO,159,243,6081"
"17,IL,ILLINOIS,154,269,7278"
"45,SC,SOUTH CAROLINA,152,272,6772"
"53,WA,WASHINGTON,148,272,6184"
"39,OH,OHIO,145,283,5707"
"50,VT,VERMONT,109,197,4216"
"32,NV,NEVADA,104,157,3575"
"26,MI,MICHIGAN,84,158,3753"
"47,TN,TENNESSEE,77,165,4445"
"55,WI,WISCONSIN,75,139,2475"
"27,MN,MINNESOTA,71,133,3245"
"15,HI,HAWAII,69,130,2787"
"22,LA,LOUISIANA,64,128,3164"
"11,DC,DISTRICT OF COLUMBIA,62,77,1858"
"01,AL,ALABAMA,60,116,2982"
"29,MO,MISSOURI,53,104,2737"
"41,OR,OREGON,53,92,1746"
"18,IN,INDIANA,51,105,2062"
"21,KY,KENTUCKY,51,87,71945"
"35,NM,NEW MEXICO,43,65,973"
"10,DE,DELAWARE,38,69,1307"
"28,MS,MISSISSIPPI,34,79,1102"
"20,KS,KANSAS,33,71,1111"
"49,UT,UTAH,32,53,769"
"19,IA,IOWA,29,49,1348"
"40,OK,OKLAHOMA,29,53,1028"
"05,AR,ARKANSAS,24,48,614"
"02,AK,ALASKA,21,32,704"
"16,ID,IDAHO,20,33,536"
"54,WV,WEST VIRGINIA,18,42,875"
"30,MT,MONTANA,13,26,385"
"31,NE,NEBRASKA,12,27,440"
"46,SD,SOUTH DAKOTA,9,16,356"
"56,WY,WYOMING,7,11,193"
"38,ND,NORTH DAKOTA,6,9,133"
