"1999 - 2000 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,47-TENNESSEE,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,TN,TN Total Mig - US & For,65781,131290,2656536"
"97,TN,TN Total Mig - US,64457,128754,2612214"
"98,TN,TN Total Mig - Foreign,1324,2536,44322"
"47,TN,TN Non-Migrants,2001450,4372768,85827546"
"13,GA,GEORGIA,7158,14225,284297"
"12,FL,FLORIDA,5869,11138,278647"
"28,MS,MISSISSIPPI,4964,10408,184503"
"21,KY,KENTUCKY,4457,9820,132253"
"48,TX,TEXAS,3904,8048,177549"
"37,NC,NORTH CAROLINA,3424,6660,138439"
"01,AL,ALABAMA,3169,6535,120403"
"51,VA,VIRGINIA,2815,5730,142637"
"06,CA,CALIFORNIA,2526,4415,100974"
"39,OH,OHIO,2285,4568,92823"
"17,IL,ILLINOIS,2017,3973,76980"
"26,MI,MICHIGAN,1837,3737,68016"
"05,AR,ARKANSAS,1802,3702,61869"
"18,IN,INDIANA,1715,3549,63246"
"45,SC,SOUTH CAROLINA,1630,3201,69296"
"29,MO,MISSOURI,1422,2911,54136"
"57,FR,Foreign,1324,2536,44322"
"36,NY,NEW YORK,1272,2182,47443"
"42,PA,PENNSYLVANIA,1043,2210,57376"
"08,CO,COLORADO,1024,1862,40400"
"22,LA,LOUISIANA,968,1925,36303"
"24,MD,MARYLAND,834,1557,34467"
"04,AZ,ARIZONA,805,1521,31988"
"53,WA,WASHINGTON,667,1284,23030"
"40,OK,OKLAHOMA,638,1349,20889"
"55,WI,WISCONSIN,557,1130,23751"
"34,NJ,NEW JERSEY,466,924,24765"
"25,MA,MASSACHUSETTS,463,805,22462"
"27,MN,MINNESOTA,439,915,19372"
"20,KS,KANSAS,431,913,23121"
"32,NV,NEVADA,376,740,26028"
"54,WV,WEST VIRGINIA,376,789,10816"
"19,IA,IOWA,319,674,11646"
"41,OR,OREGON,311,592,12105"
"09,CT,CONNECTICUT,287,563,17508"
"35,NM,NEW MEXICO,247,456,8032"
"31,NE,NEBRASKA,213,430,6951"
"49,UT,UTAH,191,404,6661"
"23,ME,MAINE,174,319,7433"
"15,HI,HAWAII,165,342,7504"
"33,NH,NEW HAMPSHIRE,158,313,7554"
"16,ID,IDAHO,148,304,6466"
"02,AK,ALASKA,146,300,4897"
"11,DC,DISTRICT OF COLUMBIA,136,174,4940"
"30,MT,MONTANA,136,267,4391"
"10,DE,DELAWARE,123,247,5848"
"56,WY,WYOMING,85,163,3164"
"50,VT,VERMONT,83,135,2514"
"44,RI,RHODE ISLAND,75,146,3103"
"46,SD,SOUTH DAKOTA,66,123,2164"
"38,ND,NORTH DAKOTA,41,76,1056"
