"2000 - 2001 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: 06-CALIFORNIA,,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,CA,CA Total Mig - US & For,265793,447702,13850995"
"97,CA,CA Total Mig - US,238749,408175,13111419"
"98,CA,CA Total Mig - Foreign,27044,39527,739575"
"06,CA,CA Non-Migrants,11336742,25247901,693755986"
"57,FR,Foreign,27044,39527,739575"
"48,TX,TEXAS,19191,35261,1144385"
"53,WA,WASHINGTON,15441,27664,852281"
"04,AZ,ARIZONA,15247,27592,695569"
"36,NY,NEW YORK,14727,21176,1141511"
"17,IL,ILLINOIS,12012,19794,821392"
"32,NV,NEVADA,11647,20865,466753"
"12,FL,FLORIDA,11496,19051,595235"
"41,OR,OREGON,9809,17348,418995"
"08,CO,COLORADO,9247,15877,540109"
"51,VA,VIRGINIA,7552,13316,439157"
"25,MA,MASSACHUSETTS,7523,10631,586841"
"42,PA,PENNSYLVANIA,6482,10140,379219"
"34,NJ,NEW JERSEY,6474,11031,599369"
"39,OH,OHIO,6296,10065,325315"
"26,MI,MICHIGAN,5922,9530,351703"
"13,GA,GEORGIA,5628,10031,338163"
"15,HI,HAWAII,5222,9266,189669"
"37,NC,NORTH CAROLINA,5171,9431,242038"
"49,UT,UTAH,5024,10065,226695"
"24,MD,MARYLAND,4352,7341,268308"
"27,MN,MINNESOTA,4111,6511,259429"
"29,MO,MISSOURI,3816,6461,182287"
"18,IN,INDIANA,3373,5558,148101"
"35,NM,NEW MEXICO,3106,5477,121144"
"55,WI,WISCONSIN,3029,4757,141259"
"47,TN,TENNESSEE,2773,4854,142457"
"09,CT,CONNECTICUT,2733,4370,230842"
"40,OK,OKLAHOMA,2730,5156,88451"
"22,LA,LOUISIANA,2574,4547,91768"
"20,KS,KANSAS,2453,4380,109223"
"16,ID,IDAHO,2392,4515,103265"
"19,IA,IOWA,2002,3368,79854"
"45,SC,SOUTH CAROLINA,1805,3193,85353"
"31,NE,NEBRASKA,1582,2790,59475"
"21,KY,KENTUCKY,1559,2727,63217"
"05,AR,ARKANSAS,1543,3012,50316"
"01,AL,ALABAMA,1506,2768,58708"
"02,AK,ALASKA,1437,2556,51501"
"30,MT,MONTANA,1437,2376,42818"
"11,DC,DISTRICT OF COLUMBIA,1333,1697,85892"
"28,MS,MISSISSIPPI,1154,2192,44767"
"33,NH,NEW HAMPSHIRE,1072,1623,55321"
"44,RI,RHODE ISLAND,787,1213,36625"
"23,ME,MAINE,769,1198,32269"
"56,WY,WYOMING,721,1242,25182"
"46,SD,SOUTH DAKOTA,559,1025,26135"
"50,VT,VERMONT,518,753,18143"
"10,DE,DELAWARE,496,840,26351"
"38,ND,NORTH DAKOTA,478,861,14502"
"54,WV,WEST VIRGINIA,438,680,14058"
