"2000 - 2001 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: ,18-INDIANA,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,IN,IN Total Mig - US & For,57459,113244,2321786"
"97,IN,IN Total Mig - US,54376,109312,2274645"
"98,IN,IN Total Mig - Foreign,3083,3932,47140"
"18,IN,IN Non-Migrants,2246031,4975213,108997781"
"17,IL,ILLINOIS,9404,19231,407729"
"39,OH,OHIO,5548,10986,241946"
"21,KY,KENTUCKY,4927,9598,165276"
"26,MI,MICHIGAN,4460,8656,185874"
"12,FL,FLORIDA,3969,7334,142499"
"57,FR,Foreign,3083,3932,47140"
"06,CA,CALIFORNIA,2642,5462,115324"
"48,TX,TEXAS,2597,5658,105878"
"47,TN,TENNESSEE,1651,3418,72091"
"13,GA,GEORGIA,1285,2709,55380"
"37,NC,NORTH CAROLINA,1199,2456,52524"
"29,MO,MISSOURI,1138,2374,50778"
"36,NY,NEW YORK,1128,2161,49945"
"42,PA,PENNSYLVANIA,1093,2209,54824"
"51,VA,VIRGINIA,1061,2202,49403"
"55,WI,WISCONSIN,1012,2040,43828"
"04,AZ,ARIZONA,964,1827,33902"
"08,CO,COLORADO,766,1536,30526"
"01,AL,ALABAMA,645,1309,21452"
"19,IA,IOWA,622,1266,26206"
"45,SC,SOUTH CAROLINA,613,1235,23668"
"27,MN,MINNESOTA,599,1212,25873"
"53,WA,WASHINGTON,555,1146,19195"
"20,KS,KANSAS,462,1027,22268"
"34,NJ,NEW JERSEY,460,936,33128"
"24,MD,MARYLAND,451,951,44420"
"40,OK,OKLAHOMA,438,958,15222"
"05,AR,ARKANSAS,432,926,14937"
"28,MS,MISSISSIPPI,423,910,14488"
"22,LA,LOUISIANA,377,738,13297"
"25,MA,MASSACHUSETTS,377,720,22480"
"32,NV,NEVADA,347,633,11218"
"54,WV,WEST VIRGINIA,312,654,11149"
"31,NE,NEBRASKA,284,621,15279"
"41,OR,OREGON,273,514,9019"
"09,CT,CONNECTICUT,242,477,16545"
"49,UT,UTAH,236,565,10212"
"35,NM,NEW MEXICO,220,419,6796"
"15,HI,HAWAII,124,215,3557"
"16,ID,IDAHO,117,245,4060"
"30,MT,MONTANA,112,208,2891"
"38,ND,NORTH DAKOTA,103,218,3752"
"33,NH,NEW HAMPSHIRE,102,198,3518"
"46,SD,SOUTH DAKOTA,100,210,2968"
"56,WY,WYOMING,98,189,3018"
"02,AK,ALASKA,95,202,3635"
"10,DE,DELAWARE,80,150,3846"
"23,ME,MAINE,70,139,2380"
"11,DC,DISTRICT OF COLUMBIA,67,87,2454"
"44,RI,RHODE ISLAND,61,105,2365"
"50,VT,VERMONT,35,72,1621"
