"2000 - 2001 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: ,24-MARYLAND,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,MD,MD Total Mig - US & For,82129,148520,3918545"
"97,MD,MD Total Mig - US,75962,138161,3774692"
"98,MD,MD Total Mig - Foreign,6167,10359,143853"
"24,MD,MD Non-Migrants,1965674,4204615,118656107"
"51,VA,VIRGINIA,11708,20579,627506"
"11,DC,DISTRICT OF COLUMBIA,9740,18513,410404"
"42,PA,PENNSYLVANIA,7619,12246,333442"
"57,FR,Foreign,6167,10359,143853"
"36,NY,NEW YORK,5227,9313,239641"
"12,FL,FLORIDA,4430,7889,210341"
"06,CA,CALIFORNIA,3760,7140,261180"
"37,NC,NORTH CAROLINA,3215,6049,128026"
"34,NJ,NEW JERSEY,3004,5286,183302"
"48,TX,TEXAS,2763,5560,163946"
"10,DE,DELAWARE,2244,3999,94909"
"13,GA,GEORGIA,1909,3650,99233"
"39,OH,OHIO,1685,2944,82652"
"25,MA,MASSACHUSETTS,1544,2641,94450"
"54,WV,WEST VIRGINIA,1467,2710,49341"
"17,IL,ILLINOIS,1296,2467,84768"
"45,SC,SOUTH CAROLINA,1146,2107,40735"
"26,MI,MICHIGAN,936,1627,45878"
"09,CT,CONNECTICUT,891,1577,74091"
"47,TN,TENNESSEE,888,1661,43764"
"08,CO,COLORADO,840,1626,51141"
"53,WA,WASHINGTON,786,1574,45402"
"04,AZ,ARIZONA,761,1417,36985"
"22,LA,LOUISIANA,589,1093,22080"
"29,MO,MISSOURI,568,1079,28705"
"18,IN,INDIANA,563,991,27416"
"01,AL,ALABAMA,538,1103,23620"
"15,HI,HAWAII,502,1186,21814"
"21,KY,KENTUCKY,458,875,19399"
"27,MN,MINNESOTA,417,787,24597"
"55,WI,WISCONSIN,379,638,19920"
"20,KS,KANSAS,363,750,21049"
"40,OK,OKLAHOMA,317,615,11518"
"28,MS,MISSISSIPPI,302,644,12973"
"49,UT,UTAH,280,593,13740"
"33,NH,NEW HAMPSHIRE,270,456,14040"
"35,NM,NEW MEXICO,266,503,15193"
"23,ME,MAINE,265,493,10467"
"41,OR,OREGON,264,488,10743"
"32,NV,NEVADA,241,411,10698"
"19,IA,IOWA,238,444,10626"
"44,RI,RHODE ISLAND,227,392,9543"
"31,NE,NEBRASKA,200,390,9409"
"05,AR,ARKANSAS,198,376,8276"
"02,AK,ALASKA,167,396,6580"
"50,VT,VERMONT,139,207,7006"
"16,ID,IDAHO,102,192,4392"
"30,MT,MONTANA,81,145,2845"
"38,ND,NORTH DAKOTA,69,158,3277"
"46,SD,SOUTH DAKOTA,54,101,2382"
"56,WY,WYOMING,46,80,1248"
