"2000 - 2001 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: ,31-NEBRASKA,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,NE,NE Total Mig - US & For,19916,39639,720720"
"97,NE,NE Total Mig - US,18801,37871,702561"
"98,NE,NE Total Mig - Foreign,1115,1768,18159"
"31,NE,NE Non-Migrants,626120,1406282,30539012"
"19,IA,IOWA,3322,6263,107526"
"08,CO,COLORADO,1493,2870,60441"
"06,CA,CALIFORNIA,1432,3149,50312"
"48,TX,TEXAS,1319,2815,49192"
"20,KS,KANSAS,1279,2594,42524"
"57,FR,Foreign,1115,1768,18159"
"46,SD,SOUTH DAKOTA,880,1661,26213"
"29,MO,MISSOURI,822,1608,34640"
"17,IL,ILLINOIS,661,1314,28828"
"27,MN,MINNESOTA,538,1059,22013"
"04,AZ,ARIZONA,502,956,21126"
"12,FL,FLORIDA,501,960,24325"
"56,WY,WYOMING,419,881,12028"
"53,WA,WASHINGTON,368,787,12496"
"40,OK,OKLAHOMA,330,718,11580"
"55,WI,WISCONSIN,266,522,11461"
"51,VA,VIRGINIA,261,597,13545"
"36,NY,NEW YORK,245,486,7874"
"13,GA,GEORGIA,243,520,8810"
"26,MI,MICHIGAN,230,475,11333"
"37,NC,NORTH CAROLINA,229,441,7703"
"39,OH,OHIO,228,512,12226"
"05,AR,ARKANSAS,206,434,6788"
"38,ND,NORTH DAKOTA,204,430,6879"
"32,NV,NEVADA,202,409,6698"
"18,IN,INDIANA,192,426,8353"
"47,TN,TENNESSEE,184,379,7394"
"42,PA,PENNSYLVANIA,180,356,9104"
"49,UT,UTAH,179,427,5171"
"35,NM,NEW MEXICO,169,363,6087"
"22,LA,LOUISIANA,162,328,5710"
"30,MT,MONTANA,154,306,5093"
"41,OR,OREGON,148,284,4221"
"28,MS,MISSISSIPPI,145,302,4184"
"21,KY,KENTUCKY,116,243,4711"
"24,MD,MARYLAND,115,228,6429"
"01,AL,ALABAMA,114,241,5120"
"16,ID,IDAHO,112,235,3482"
"45,SC,SOUTH CAROLINA,99,204,2991"
"34,NJ,NEW JERSEY,98,168,5180"
"25,MA,MASSACHUSETTS,92,173,5167"
"15,HI,HAWAII,75,156,3332"
"09,CT,CONNECTICUT,68,146,5640"
"02,AK,ALASKA,62,127,2372"
"54,WV,WEST VIRGINIA,32,68,1015"
"44,RI,RHODE ISLAND,27,62,1275"
"23,ME,MAINE,24,38,540"
"10,DE,DELAWARE,21,38,1143"
"11,DC,DISTRICT OF COLUMBIA,21,42,893"
"33,NH,NEW HAMPSHIRE,21,44,726"
"50,VT,VERMONT,11,26,666"
