"2000 - 2001 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: ,39-OHIO,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,OH,OH Total Mig - US & For,83763,157522,3595539"
"97,OH,OH Total Mig - US,77658,149473,3490111"
"98,OH,OH Total Mig - Foreign,6105,8049,105428"
"39,OH,OH Non-Migrants,4434370,9200189,207039183"
"12,FL,FLORIDA,7170,12743,305061"
"57,FR,Foreign,6105,8049,105428"
"26,MI,MICHIGAN,5660,10543,260953"
"21,KY,KENTUCKY,5619,10327,208448"
"42,PA,PENNSYLVANIA,5467,9939,236782"
"18,IN,INDIANA,5204,10125,226874"
"06,CA,CALIFORNIA,3945,7324,209947"
"48,TX,TEXAS,3546,7521,189963"
"36,NY,NEW YORK,3513,6494,159207"
"17,IL,ILLINOIS,3486,6833,195876"
"54,WV,WEST VIRGINIA,3402,6548,100123"
"37,NC,NORTH CAROLINA,2886,5664,113476"
"13,GA,GEORGIA,2553,5082,109339"
"51,VA,VIRGINIA,2487,5008,115213"
"47,TN,TENNESSEE,2273,4530,93476"
"04,AZ,ARIZONA,1518,2837,57370"
"45,SC,SOUTH CAROLINA,1310,2595,49956"
"24,MD,MARYLAND,1306,2637,70155"
"34,NJ,NEW JERSEY,1231,2440,76027"
"08,CO,COLORADO,1223,2275,54581"
"29,MO,MISSOURI,1152,2415,70373"
"55,WI,WISCONSIN,995,2011,59167"
"25,MA,MASSACHUSETTS,916,1703,61454"
"01,AL,ALABAMA,915,1960,34641"
"53,WA,WASHINGTON,893,1786,38691"
"27,MN,MINNESOTA,743,1406,35885"
"40,OK,OKLAHOMA,696,1463,28849"
"20,KS,KANSAS,642,1369,35826"
"19,IA,IOWA,626,1311,29586"
"22,LA,LOUISIANA,588,1204,21295"
"09,CT,CONNECTICUT,582,1127,40270"
"32,NV,NEVADA,564,1012,19265"
"28,MS,MISSISSIPPI,502,1045,16193"
"41,OR,OREGON,415,788,17835"
"05,AR,ARKANSAS,381,807,14794"
"49,UT,UTAH,353,825,13456"
"35,NM,NEW MEXICO,351,711,13522"
"31,NE,NEBRASKA,333,738,14614"
"15,HI,HAWAII,276,548,8860"
"33,NH,NEW HAMPSHIRE,223,443,12956"
"02,AK,ALASKA,210,440,11050"
"11,DC,DISTRICT OF COLUMBIA,205,315,8024"
"23,ME,MAINE,186,355,7208"
"10,DE,DELAWARE,176,356,9069"
"44,RI,RHODE ISLAND,151,302,8108"
"30,MT,MONTANA,147,276,4224"
"46,SD,SOUTH DAKOTA,146,295,4904"
"16,ID,IDAHO,141,309,5058"
"38,ND,NORTH DAKOTA,131,274,3897"
"50,VT,VERMONT,115,198,4498"
"56,WY,WYOMING,105,216,3715"
