"2000 - 2001 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: ,40-OKLAHOMA,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,OK,OK Total Mig - US & For,39401,82707,1345724"
"97,OK,OK Total Mig - US,37170,78789,1301218"
"98,OK,OK Total Mig - Foreign,2231,3918,44506"
"40,OK,OK Non-Migrants,1110649,2504267,46309210"
"48,TX,TEXAS,9432,20450,377535"
"06,CA,CALIFORNIA,2838,5931,91462"
"05,AR,ARKANSAS,2660,5807,70051"
"20,KS,KANSAS,2642,5719,89082"
"57,FR,Foreign,2231,3918,44506"
"29,MO,MISSOURI,1923,3993,59285"
"08,CO,COLORADO,1407,2816,50312"
"12,FL,FLORIDA,1354,2589,43707"
"04,AZ,ARIZONA,876,1792,25869"
"17,IL,ILLINOIS,868,1809,31535"
"13,GA,GEORGIA,800,1783,27200"
"35,NM,NEW MEXICO,711,1552,24720"
"22,LA,LOUISIANA,704,1593,24967"
"37,NC,NORTH CAROLINA,641,1432,22420"
"53,WA,WASHINGTON,635,1390,19844"
"51,VA,VIRGINIA,601,1321,25614"
"36,NY,NEW YORK,586,1136,18444"
"39,OH,OHIO,578,1204,21975"
"47,TN,TENNESSEE,576,1237,20323"
"26,MI,MICHIGAN,497,990,18730"
"18,IN,INDIANA,488,1044,17515"
"19,IA,IOWA,382,765,12509"
"28,MS,MISSISSIPPI,378,805,10887"
"01,AL,ALABAMA,373,810,12506"
"31,NE,NEBRASKA,361,710,12066"
"32,NV,NEVADA,359,687,11608"
"42,PA,PENNSYLVANIA,356,679,13947"
"21,KY,KENTUCKY,351,798,10733"
"45,SC,SOUTH CAROLINA,338,737,11589"
"27,MN,MINNESOTA,314,619,12533"
"41,OR,OREGON,305,591,7934"
"55,WI,WISCONSIN,303,607,10903"
"24,MD,MARYLAND,286,586,11657"
"49,UT,UTAH,276,644,11699"
"15,HI,HAWAII,239,572,7259"
"34,NJ,NEW JERSEY,206,411,7247"
"56,WY,WYOMING,202,420,7007"
"02,AK,ALASKA,199,439,7341"
"16,ID,IDAHO,169,357,5783"
"25,MA,MASSACHUSETTS,162,287,6673"
"30,MT,MONTANA,157,322,5041"
"46,SD,SOUTH DAKOTA,118,251,3111"
"09,CT,CONNECTICUT,94,201,7159"
"38,ND,NORTH DAKOTA,93,201,3238"
"54,WV,WEST VIRGINIA,90,203,2557"
"23,ME,MAINE,57,108,1558"
"33,NH,NEW HAMPSHIRE,52,106,1891"
"10,DE,DELAWARE,48,118,1623"
"44,RI,RHODE ISLAND,33,76,1097"
"11,DC,DISTRICT OF COLUMBIA,29,48,996"
"50,VT,VERMONT,23,43,476"
