"2000 - 2001 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,46-SOUTH DAKOTA,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,SD,SD Total Mig - US & For,10753,20726,404523"
"97,SD,SD Total Mig - US,10341,20015,397124"
"98,SD,SD Total Mig - Foreign,412,711,7399"
"46,SD,SD Non-Migrants,272435,610653,11777622"
"27,MN,MINNESOTA,1593,2760,55269"
"19,IA,IOWA,1085,2044,44243"
"31,NE,NEBRASKA,950,1919,37490"
"38,ND,NORTH DAKOTA,640,1264,22150"
"08,CO,COLORADO,572,1121,20777"
"06,CA,CALIFORNIA,561,1076,22365"
"56,WY,WYOMING,468,914,13302"
"48,TX,TEXAS,438,866,18902"
"57,FR,Foreign,412,711,7399"
"04,AZ,ARIZONA,335,652,11597"
"30,MT,MONTANA,253,494,7714"
"55,WI,WISCONSIN,227,436,7929"
"53,WA,WASHINGTON,226,466,8303"
"17,IL,ILLINOIS,208,403,9305"
"20,KS,KANSAS,199,385,7887"
"29,MO,MISSOURI,197,433,7810"
"12,FL,FLORIDA,190,362,7524"
"32,NV,NEVADA,154,297,7980"
"51,VA,VIRGINIA,125,246,5858"
"39,OH,OHIO,123,240,5144"
"49,UT,UTAH,114,255,9458"
"41,OR,OREGON,108,191,2962"
"40,OK,OKLAHOMA,105,222,3077"
"42,PA,PENNSYLVANIA,104,190,5036"
"35,NM,NEW MEXICO,103,248,3514"
"36,NY,NEW YORK,100,192,3181"
"37,NC,NORTH CAROLINA,100,189,3592"
"26,MI,MICHIGAN,99,215,4941"
"13,GA,GEORGIA,92,176,3063"
"18,IN,INDIANA,91,194,3189"
"16,ID,IDAHO,86,185,3314"
"02,AK,ALASKA,79,161,3338"
"47,TN,TENNESSEE,64,136,2617"
"22,LA,LOUISIANA,63,129,2689"
"45,SC,SOUTH CAROLINA,57,102,1874"
"21,KY,KENTUCKY,53,109,2848"
"24,MD,MARYLAND,52,95,1988"
"05,AR,ARKANSAS,51,120,2476"
"34,NJ,NEW JERSEY,43,78,2227"
"25,MA,MASSACHUSETTS,36,67,1389"
"01,AL,ALABAMA,31,64,1035"
"28,MS,MISSISSIPPI,29,56,759"
"09,CT,CONNECTICUT,26,54,2362"
"15,HI,HAWAII,24,47,748"
"54,WV,WEST VIRGINIA,21,46,491"
"23,ME,MAINE,18,32,1299"
"11,DC,DISTRICT OF COLUMBIA,16,23,1039"
"10,DE,DELAWARE,5,10,137"
"44,RI,RHODE ISLAND,5,11,193"
