"2000 - 2001 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,49-UTAH,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,UT,UT Total Mig - US & For,27817,58511,1253441"
"97,UT,UT Total Mig - US,26426,56169,1226218"
"98,UT,UT Total Mig - Foreign,1391,2342,27223"
"49,UT,UT Non-Migrants,685720,1768749,34195663"
"06,CA,CALIFORNIA,4863,10529,310139"
"16,ID,IDAHO,2331,4927,73656"
"04,AZ,ARIZONA,1796,4145,65267"
"32,NV,NEVADA,1645,3508,62402"
"48,TX,TEXAS,1519,3531,78107"
"08,CO,COLORADO,1473,3093,68600"
"53,WA,WASHINGTON,1451,3040,57330"
"57,FR,Foreign,1391,2342,27223"
"41,OR,OREGON,945,1969,35683"
"56,WY,WYOMING,767,1564,24123"
"12,FL,FLORIDA,677,1366,28618"
"35,NM,NEW MEXICO,566,1312,19347"
"17,IL,ILLINOIS,508,1054,37222"
"36,NY,NEW YORK,486,866,32641"
"30,MT,MONTANA,470,919,14344"
"51,VA,VIRGINIA,426,917,23074"
"13,GA,GEORGIA,405,840,23718"
"39,OH,OHIO,377,771,17279"
"42,PA,PENNSYLVANIA,344,599,21116"
"37,NC,NORTH CAROLINA,337,714,13762"
"29,MO,MISSOURI,326,718,11982"
"26,MI,MICHIGAN,309,618,13520"
"15,HI,HAWAII,269,620,6972"
"27,MN,MINNESOTA,258,530,11527"
"40,OK,OKLAHOMA,256,577,9575"
"55,WI,WISCONSIN,235,474,13534"
"02,AK,ALASKA,233,490,9100"
"24,MD,MARYLAND,229,464,12738"
"18,IN,INDIANA,227,456,10633"
"31,NE,NEBRASKA,223,496,9702"
"20,KS,KANSAS,214,497,8831"
"47,TN,TENNESSEE,212,445,12744"
"25,MA,MASSACHUSETTS,211,421,9332"
"34,NJ,NEW JERSEY,202,392,10735"
"19,IA,IOWA,183,359,9129"
"21,KY,KENTUCKY,153,310,6182"
"45,SC,SOUTH CAROLINA,146,321,5761"
"22,LA,LOUISIANA,141,316,5903"
"01,AL,ALABAMA,131,321,7028"
"05,AR,ARKANSAS,123,262,6374"
"09,CT,CONNECTICUT,122,222,5586"
"28,MS,MISSISSIPPI,94,190,2513"
"46,SD,SOUTH DAKOTA,92,212,3771"
"23,ME,MAINE,91,142,3514"
"38,ND,NORTH DAKOTA,75,144,1953"
"33,NH,NEW HAMPSHIRE,68,110,2163"
"50,VT,VERMONT,62,112,2633"
"54,WV,WEST VIRGINIA,58,114,2157"
"44,RI,RHODE ISLAND,38,67,1323"
"11,DC,DISTRICT OF COLUMBIA,33,60,1414"
"10,DE,DELAWARE,26,45,1462"
