"2000 - 2001 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,16-IDAHO,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,ID,ID Total Mig - US & For,20432,41282,758871"
"97,ID,ID Total Mig - US,19921,40297,744924"
"98,ID,ID Total Mig - Foreign,511,985,13947"
"16,ID,ID Non-Migrants,420113,1004010,19306172"
"53,WA,WASHINGTON,3871,7408,155740"
"06,CA,CALIFORNIA,2392,4515,103265"
"49,UT,UTAH,2331,4927,73656"
"41,OR,OREGON,2051,4070,62206"
"04,AZ,ARIZONA,979,1993,33315"
"32,NV,NEVADA,794,1565,43670"
"08,CO,COLORADO,788,1606,31398"
"30,MT,MONTANA,778,1655,25264"
"48,TX,TEXAS,774,1757,30398"
"57,FR,Foreign,511,985,13947"
"56,WY,WYOMING,370,780,11871"
"12,FL,FLORIDA,367,773,14504"
"02,AK,ALASKA,346,672,11400"
"51,VA,VIRGINIA,217,493,10072"
"17,IL,ILLINOIS,206,414,8679"
"27,MN,MINNESOTA,205,418,8821"
"29,MO,MISSOURI,198,433,6515"
"37,NC,NORTH CAROLINA,192,376,5692"
"13,GA,GEORGIA,185,400,5721"
"35,NM,NEW MEXICO,180,366,5342"
"36,NY,NEW YORK,176,320,5805"
"40,OK,OKLAHOMA,169,357,5783"
"26,MI,MICHIGAN,155,314,6183"
"42,PA,PENNSYLVANIA,147,299,5415"
"55,WI,WISCONSIN,144,323,6303"
"39,OH,OHIO,141,309,5058"
"15,HI,HAWAII,138,248,3556"
"47,TN,TENNESSEE,137,303,4851"
"20,KS,KANSAS,126,308,3972"
"18,IN,INDIANA,117,245,4060"
"19,IA,IOWA,112,264,3171"
"31,NE,NEBRASKA,112,235,3482"
"24,MD,MARYLAND,102,192,4392"
"05,AR,ARKANSAS,90,244,3004"
"46,SD,SOUTH DAKOTA,86,185,3314"
"45,SC,SOUTH CAROLINA,84,174,3185"
"21,KY,KENTUCKY,81,164,2339"
"25,MA,MASSACHUSETTS,75,145,3988"
"01,AL,ALABAMA,72,181,3910"
"34,NJ,NEW JERSEY,71,123,3063"
"38,ND,NORTH DAKOTA,67,135,2613"
"22,LA,LOUISIANA,59,130,1838"
"28,MS,MISSISSIPPI,53,102,1593"
"09,CT,CONNECTICUT,39,74,1331"
"33,NH,NEW HAMPSHIRE,34,75,1313"
"54,WV,WEST VIRGINIA,24,63,682"
"23,ME,MAINE,23,48,781"
"11,DC,DISTRICT OF COLUMBIA,21,29,1079"
"50,VT,VERMONT,20,32,550"
"10,DE,DELAWARE,11,27,345"
"44,RI,RHODE ISLAND,11,28,437"
