"2000 - 2001 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,24-MARYLAND,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,MD,MD Total Mig - US & For,74458,135731,4032648"
"97,MD,MD Total Mig - US,71536,130019,3913368"
"98,MD,MD Total Mig - Foreign,2922,5712,119280"
"24,MD,MD Non-Migrants,1965674,4204615,118656107"
"51,VA,VIRGINIA,12299,21558,694948"
"11,DC,DISTRICT OF COLUMBIA,6745,11326,288291"
"42,PA,PENNSYLVANIA,6609,12372,328785"
"12,FL,FLORIDA,6363,11556,445843"
"06,CA,CALIFORNIA,4352,7341,268308"
"36,NY,NEW YORK,3535,5580,180772"
"37,NC,NORTH CAROLINA,3260,6162,149134"
"57,FR,Foreign,2922,5712,119280"
"48,TX,TEXAS,2652,5342,156124"
"10,DE,DELAWARE,2576,4606,112104"
"13,GA,GEORGIA,2142,4212,118674"
"34,NJ,NEW JERSEY,2060,3705,123000"
"54,WV,WEST VIRGINIA,2048,3994,76589"
"25,MA,MASSACHUSETTS,1467,2383,103449"
"39,OH,OHIO,1306,2637,70155"
"45,SC,SOUTH CAROLINA,1299,2444,61568"
"17,IL,ILLINOIS,1066,1974,62013"
"08,CO,COLORADO,1034,1840,61968"
"04,AZ,ARIZONA,891,1629,55098"
"47,TN,TENNESSEE,780,1472,38482"
"53,WA,WASHINGTON,778,1566,42237"
"26,MI,MICHIGAN,708,1366,42003"
"09,CT,CONNECTICUT,608,1153,40012"
"29,MO,MISSOURI,466,905,25301"
"18,IN,INDIANA,451,951,44420"
"01,AL,ALABAMA,425,919,20626"
"15,HI,HAWAII,417,972,20300"
"21,KY,KENTUCKY,403,812,19620"
"27,MN,MINNESOTA,400,758,21930"
"22,LA,LOUISIANA,398,748,16349"
"32,NV,NEVADA,374,620,26386"
"41,OR,OREGON,308,514,15573"
"55,WI,WISCONSIN,306,607,18227"
"40,OK,OKLAHOMA,286,586,11657"
"23,ME,MAINE,262,545,15990"
"20,KS,KANSAS,260,549,12641"
"33,NH,NEW HAMPSHIRE,259,565,27898"
"35,NM,NEW MEXICO,243,487,13680"
"28,MS,MISSISSIPPI,233,456,9436"
"44,RI,RHODE ISLAND,229,416,10934"
"49,UT,UTAH,229,464,12738"
"50,VT,VERMONT,167,269,7330"
"05,AR,ARKANSAS,155,328,9315"
"19,IA,IOWA,136,279,8026"
"02,AK,ALASKA,116,244,4893"
"31,NE,NEBRASKA,115,228,6429"
"30,MT,MONTANA,90,163,3916"
"16,ID,IDAHO,69,123,3232"
"56,WY,WYOMING,65,112,3830"
"46,SD,SOUTH DAKOTA,52,95,1988"
"38,ND,NORTH DAKOTA,44,86,1148"
