"2000 - 2001 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,37-NORTH CAROLINA,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,NC,NC Total Mig - US & For,100564,195718,4289291"
"97,NC,NC Total Mig - US,95703,186216,4145884"
"98,NC,NC Total Mig - Foreign,4861,9502,143407"
"37,NC,NC Non-Migrants,2834798,6152210,134205896"
"12,FL,FLORIDA,10318,19529,472667"
"51,VA,VIRGINIA,10124,19901,454698"
"45,SC,SOUTH CAROLINA,9864,19075,405800"
"13,GA,GEORGIA,7411,14298,342650"
"06,CA,CALIFORNIA,5171,9431,242038"
"48,TX,TEXAS,5042,10888,237128"
"36,NY,NEW YORK,4952,8697,173500"
"57,FR,Foreign,4861,9502,143407"
"47,TN,TENNESSEE,3382,6895,150484"
"42,PA,PENNSYLVANIA,3289,6187,144156"
"24,MD,MARYLAND,3215,6049,128026"
"39,OH,OHIO,2886,5664,113476"
"34,NJ,NEW JERSEY,2083,3860,102764"
"17,IL,ILLINOIS,2081,3936,109387"
"26,MI,MICHIGAN,1716,3347,72775"
"08,CO,COLORADO,1531,2860,73441"
"25,MA,MASSACHUSETTS,1491,2409,73287"
"54,WV,WEST VIRGINIA,1432,2946,36489"
"21,KY,KENTUCKY,1408,2913,48498"
"01,AL,ALABAMA,1370,2963,55894"
"53,WA,WASHINGTON,1333,2721,58739"
"04,AZ,ARIZONA,1321,2632,61668"
"18,IN,INDIANA,1199,2456,52524"
"29,MO,MISSOURI,1095,2321,45286"
"22,LA,LOUISIANA,985,2006,36467"
"09,CT,CONNECTICUT,933,1730,53329"
"15,HI,HAWAII,732,1695,21887"
"55,WI,WISCONSIN,728,1475,30687"
"40,OK,OKLAHOMA,641,1432,22420"
"27,MN,MINNESOTA,626,1262,28196"
"28,MS,MISSISSIPPI,602,1248,23934"
"41,OR,OREGON,564,999,23983"
"20,KS,KANSAS,549,1334,26327"
"11,DC,DISTRICT OF COLUMBIA,546,830,19892"
"05,AR,ARKANSAS,511,1099,19807"
"32,NV,NEVADA,475,889,20274"
"33,NH,NEW HAMPSHIRE,444,887,19631"
"02,AK,ALASKA,418,994,12990"
"23,ME,MAINE,411,802,15552"
"19,IA,IOWA,372,813,15671"
"10,DE,DELAWARE,357,704,13124"
"49,UT,UTAH,337,714,13762"
"35,NM,NEW MEXICO,315,578,10507"
"44,RI,RHODE ISLAND,297,576,12038"
"50,VT,VERMONT,243,440,8830"
"31,NE,NEBRASKA,229,441,7703"
"30,MT,MONTANA,201,362,8418"
"16,ID,IDAHO,181,386,6434"
"56,WY,WYOMING,115,222,12343"
"46,SD,SOUTH DAKOTA,100,189,3592"
"38,ND,NORTH DAKOTA,77,131,2706"
