"2000 - 2001 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,48-TEXAS,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,TX,TX Total Mig - US & For,179860,366941,9126072"
"97,TX,TX Total Mig - US,169693,346894,8704422"
"98,TX,TX Total Mig - Foreign,10167,20047,421650"
"48,TX,TX Non-Migrants,6860015,15781031,336167333"
"06,CA,CALIFORNIA,19191,35261,1144385"
"12,FL,FLORIDA,11594,22934,629163"
"57,FR,Foreign,10167,20047,421650"
"40,OK,OKLAHOMA,9432,20450,377535"
"08,CO,COLORADO,9020,18511,496425"
"22,LA,LOUISIANA,7515,15543,288278"
"13,GA,GEORGIA,7123,15504,391050"
"04,AZ,ARIZONA,6307,12520,290236"
"35,NM,NEW MEXICO,5838,12689,201486"
"51,VA,VIRGINIA,5736,12196,344471"
"17,IL,ILLINOIS,5705,11440,325370"
"37,NC,NORTH CAROLINA,5500,11648,306046"
"05,AR,ARKANSAS,5127,11059,183863"
"36,NY,NEW YORK,4870,8045,248822"
"53,WA,WASHINGTON,4628,9350,334362"
"29,MO,MISSOURI,4351,9103,201739"
"47,TN,TENNESSEE,4039,8655,196808"
"39,OH,OHIO,3546,7521,189963"
"20,KS,KANSAS,3463,7654,157154"
"26,MI,MICHIGAN,3427,7395,155818"
"42,PA,PENNSYLVANIA,2771,5593,177155"
"24,MD,MARYLAND,2763,5560,163946"
"18,IN,INDIANA,2597,5658,105878"
"01,AL,ALABAMA,2580,5695,115568"
"27,MN,MINNESOTA,2436,5275,107005"
"32,NV,NEVADA,2364,4354,98764"
"28,MS,MISSISSIPPI,2242,4763,85608"
"34,NJ,NEW JERSEY,2189,4304,156601"
"25,MA,MASSACHUSETTS,2175,3714,179518"
"41,OR,OREGON,2040,4049,96865"
"45,SC,SOUTH CAROLINA,2002,4250,84190"
"21,KY,KENTUCKY,1977,4341,82839"
"55,WI,WISCONSIN,1824,3875,77139"
"49,UT,UTAH,1519,3531,78107"
"15,HI,HAWAII,1518,3277,47862"
"19,IA,IOWA,1339,2845,48416"
"31,NE,NEBRASKA,1319,2815,49192"
"09,CT,CONNECTICUT,1080,2195,124416"
"02,AK,ALASKA,972,2122,43555"
"16,ID,IDAHO,864,1910,39502"
"11,DC,DISTRICT OF COLUMBIA,634,929,44816"
"30,MT,MONTANA,611,1234,30760"
"56,WY,WYOMING,581,1190,59235"
"33,NH,NEW HAMPSHIRE,473,1026,40348"
"46,SD,SOUTH DAKOTA,438,866,18902"
"54,WV,WEST VIRGINIA,422,910,17716"
"23,ME,MAINE,405,801,19218"
"38,ND,NORTH DAKOTA,337,687,9560"
"10,DE,DELAWARE,313,641,14496"
"44,RI,RHODE ISLAND,301,633,14343"
"50,VT,VERMONT,195,373,9930"
