"2001 - 2002 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: 06-CALIFORNIA,,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,CA,CA Total Mig - US & For,240139,407757,10389401"
"97,CA,CA Total Mig - US,214591,370042,9766562"
"98,CA,CA Total Mig - Foreign,25548,37715,622839"
"06,CA,CA Non-Migrants,11531921,25671321,653149337"
"57,FR,Foreign,25548,37715,622839"
"48,TX,TEXAS,17012,31419,861602"
"53,WA,WASHINGTON,14009,25095,597702"
"04,AZ,ARIZONA,13916,25091,543201"
"36,NY,NEW YORK,13241,19463,811320"
"32,NV,NEVADA,11732,21286,435321"
"12,FL,FLORIDA,10490,17432,466517"
"17,IL,ILLINOIS,10226,17080,578963"
"08,CO,COLORADO,8966,15459,414104"
"41,OR,OREGON,8722,15158,305998"
"51,VA,VIRGINIA,7294,13596,366021"
"25,MA,MASSACHUSETTS,6798,9725,383186"
"42,PA,PENNSYLVANIA,5273,8071,261314"
"34,NJ,NEW JERSEY,5250,8617,338306"
"26,MI,MICHIGAN,5184,8601,267028"
"39,OH,OHIO,5152,8227,252386"
"15,HI,HAWAII,4912,8593,170562"
"13,GA,GEORGIA,4898,8883,232783"
"37,NC,NORTH CAROLINA,4783,8892,199957"
"49,UT,UTAH,4642,9338,171089"
"24,MD,MARYLAND,3689,6220,192552"
"27,MN,MINNESOTA,3636,5868,173032"
"29,MO,MISSOURI,3438,5939,151427"
"18,IN,INDIANA,3024,4982,115991"
"55,WI,WISCONSIN,2735,4313,104560"
"35,NM,NEW MEXICO,2592,4677,90433"
"09,CT,CONNECTICUT,2440,3885,170269"
"47,TN,TENNESSEE,2387,4207,91103"
"40,OK,OKLAHOMA,2357,4375,80364"
"22,LA,LOUISIANA,2249,4082,76930"
"20,KS,KANSAS,2223,4218,88752"
"16,ID,IDAHO,2197,4123,74683"
"19,IA,IOWA,1797,3051,60657"
"45,SC,SOUTH CAROLINA,1566,2757,55568"
"31,NE,NEBRASKA,1513,2785,53178"
"30,MT,MONTANA,1423,2406,50425"
"05,AR,ARKANSAS,1396,2725,39258"
"02,AK,ALASKA,1313,2337,41905"
"01,AL,ALABAMA,1312,2451,44648"
"21,KY,KENTUCKY,1300,2379,48466"
"28,MS,MISSISSIPPI,1159,2228,37162"
"11,DC,DISTRICT OF COLUMBIA,1124,1476,67991"
"33,NH,NEW HAMPSHIRE,892,1383,42833"
"44,RI,RHODE ISLAND,747,1193,29067"
"23,ME,MAINE,701,1132,22814"
"56,WY,WYOMING,644,1123,23990"
"46,SD,SOUTH DAKOTA,606,1077,18431"
"38,ND,NORTH DAKOTA,444,787,15434"
"50,VT,VERMONT,422,591,16554"
"10,DE,DELAWARE,417,644,18691"
"54,WV,WEST VIRGINIA,348,602,12034"
