"2001 - 2002 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: 12-FLORIDA,,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,FL,FL Total Mig - US & For,274588,510424,14455164"
"97,FL,FL Total Mig - US,260995,487297,14116230"
"98,FL,FL Total Mig - Foreign,13593,23127,338934"
"12,FL,FL Non-Migrants,5869820,12027084,272117374"
"36,NY,NEW YORK,33450,63286,1685838"
"13,GA,GEORGIA,18083,34913,884069"
"34,NJ,NEW JERSEY,14656,28216,1031832"
"57,FR,Foreign,13593,23127,338934"
"39,OH,OHIO,12894,23112,672851"
"06,CA,CALIFORNIA,12640,23565,785398"
"48,TX,TEXAS,11942,23179,559344"
"42,PA,PENNSYLVANIA,11769,20716,658067"
"17,IL,ILLINOIS,11284,20775,773143"
"37,NC,NORTH CAROLINA,10624,20138,508330"
"25,MA,MASSACHUSETTS,10396,18689,566440"
"51,VA,VIRGINIA,10185,20093,611571"
"26,MI,MICHIGAN,9905,17548,537236"
"18,IN,INDIANA,7205,13156,383411"
"24,MD,MARYLAND,6388,11698,437182"
"47,TN,TENNESSEE,6298,11922,274934"
"09,CT,CONNECTICUT,6239,11348,484527"
"01,AL,ALABAMA,6154,11916,225766"
"45,SC,SOUTH CAROLINA,5153,9614,197528"
"08,CO,COLORADO,4216,7656,211085"
"21,KY,KENTUCKY,3945,7316,204972"
"29,MO,MISSOURI,3944,7249,277042"
"55,WI,WISCONSIN,3640,6438,230014"
"22,LA,LOUISIANA,3057,5834,134946"
"53,WA,WASHINGTON,2880,5495,119295"
"27,MN,MINNESOTA,2837,5043,217581"
"04,AZ,ARIZONA,2811,5008,113077"
"33,NH,NEW HAMPSHIRE,2612,4633,132638"
"28,MS,MISSISSIPPI,2300,4571,81414"
"23,ME,MAINE,2034,3576,91614"
"44,RI,RHODE ISLAND,1958,3550,95522"
"32,NV,NEVADA,1815,3194,71865"
"40,OK,OKLAHOMA,1755,3583,71997"
"20,KS,KANSAS,1637,3192,117481"
"19,IA,IOWA,1505,2779,90635"
"05,AR,ARKANSAS,1481,2999,57905"
"54,WV,WEST VIRGINIA,1452,2634,63759"
"41,OR,OREGON,1127,2055,59401"
"15,HI,HAWAII,1068,2172,38026"
"35,NM,NEW MEXICO,1047,2043,40121"
"50,VT,VERMONT,987,1688,43048"
"10,DE,DELAWARE,981,1792,55534"
"31,NE,NEBRASKA,888,1754,39224"
"49,UT,UTAH,779,1605,38238"
"11,DC,DISTRICT OF COLUMBIA,636,958,54850"
"02,AK,ALASKA,604,1299,22141"
"16,ID,IDAHO,419,832,15097"
"30,MT,MONTANA,416,773,14692"
"46,SD,SOUTH DAKOTA,322,594,13223"
"38,ND,NORTH DAKOTA,298,550,12609"
"56,WY,WYOMING,279,548,9719"
