"2001 - 2002 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: 16-IDAHO,,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,ID,ID Total Mig - US & For,22035,46157,866999"
"97,ID,ID Total Mig - US,21366,44980,853671"
"98,ID,ID Total Mig - Foreign,669,1177,13329"
"16,ID,ID Non-Migrants,429441,1019245,18609819"
"53,WA,WASHINGTON,3786,7563,131189"
"06,CA,CALIFORNIA,3351,7309,159535"
"41,OR,OREGON,2069,4273,58548"
"49,UT,UTAH,1993,4800,68003"
"30,MT,MONTANA,943,1824,27046"
"32,NV,NEVADA,925,1914,73371"
"04,AZ,ARIZONA,889,1861,30844"
"08,CO,COLORADO,819,1796,33047"
"48,TX,TEXAS,758,1694,28248"
"57,FR,Foreign,669,1177,13329"
"56,WY,WYOMING,486,1002,16444"
"12,FL,FLORIDA,374,768,13471"
"02,AK,ALASKA,354,729,15428"
"27,MN,MINNESOTA,255,480,10559"
"17,IL,ILLINOIS,233,452,10224"
"35,NM,NEW MEXICO,206,431,7551"
"51,VA,VIRGINIA,206,461,11324"
"36,NY,NEW YORK,204,373,8505"
"39,OH,OHIO,204,405,9092"
"37,NC,NORTH CAROLINA,198,378,6190"
"29,MO,MISSOURI,183,382,7078"
"13,GA,GEORGIA,176,414,5791"
"26,MI,MICHIGAN,176,372,7713"
"40,OK,OKLAHOMA,173,360,6164"
"31,NE,NEBRASKA,170,425,7018"
"20,KS,KANSAS,169,410,6452"
"42,PA,PENNSYLVANIA,166,309,9353"
"19,IA,IOWA,152,358,5740"
"55,WI,WISCONSIN,150,269,4838"
"38,ND,NORTH DAKOTA,141,261,5061"
"18,IN,INDIANA,139,277,5200"
"15,HI,HAWAII,136,281,4208"
"46,SD,SOUTH DAKOTA,130,257,5373"
"47,TN,TENNESSEE,126,261,4888"
"24,MD,MARYLAND,88,181,3749"
"05,AR,ARKANSAS,85,182,2926"
"25,MA,MASSACHUSETTS,80,142,3918"
"21,KY,KENTUCKY,79,194,15117"
"28,MS,MISSISSIPPI,76,147,2347"
"34,NJ,NEW JERSEY,75,134,4308"
"01,AL,ALABAMA,74,164,2694"
"22,LA,LOUISIANA,73,148,3703"
"45,SC,SOUTH CAROLINA,71,151,2580"
"09,CT,CONNECTICUT,42,68,1559"
"23,ME,MAINE,42,69,1051"
"33,NH,NEW HAMPSHIRE,35,62,1334"
"54,WV,WEST VIRGINIA,35,83,1066"
"50,VT,VERMONT,28,43,2149"
"11,DC,DISTRICT OF COLUMBIA,17,25,818"
"44,RI,RHODE ISLAND,14,21,382"
"10,DE,DELAWARE,12,17,477"
