"2001 - 2002 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: ,38-NORTH DAKOTA,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,ND,ND Total Mig - US & For,8818,16014,261112"
"97,ND,ND Total Mig - US,8266,15022,251919"
"98,ND,ND Total Mig - Foreign,552,992,9193"
"38,ND,ND Non-Migrants,237373,520390,9890035"
"27,MN,MINNESOTA,2783,4470,82519"
"46,SD,SOUTH DAKOTA,598,1162,17648"
"57,FR,Foreign,552,992,9193"
"30,MT,MONTANA,479,954,11495"
"06,CA,CALIFORNIA,429,774,12472"
"48,TX,TEXAS,363,711,10091"
"08,CO,COLORADO,278,518,11113"
"53,WA,WASHINGTON,245,456,7256"
"04,AZ,ARIZONA,241,436,9078"
"55,WI,WISCONSIN,193,364,6034"
"12,FL,FLORIDA,170,286,4773"
"17,IL,ILLINOIS,141,264,4643"
"19,IA,IOWA,132,281,5249"
"56,WY,WYOMING,118,258,4006"
"32,NV,NEVADA,113,211,3168"
"36,NY,NEW YORK,103,157,3365"
"31,NE,NEBRASKA,102,242,4435"
"39,OH,OHIO,101,177,2990"
"41,OR,OREGON,99,167,2180"
"42,PA,PENNSYLVANIA,99,178,2793"
"40,OK,OKLAHOMA,94,185,2952"
"51,VA,VIRGINIA,94,224,3984"
"26,MI,MICHIGAN,91,181,2806"
"20,KS,KANSAS,89,177,3069"
"02,AK,ALASKA,87,211,3492"
"29,MO,MISSOURI,85,160,2473"
"37,NC,NORTH CAROLINA,76,136,2285"
"16,ID,IDAHO,72,166,2088"
"13,GA,GEORGIA,65,122,1996"
"18,IN,INDIANA,62,116,1547"
"24,MD,MARYLAND,62,112,1890"
"49,UT,UTAH,59,150,1460"
"01,AL,ALABAMA,53,102,1802"
"47,TN,TENNESSEE,52,108,1389"
"35,NM,NEW MEXICO,51,105,1360"
"45,SC,SOUTH CAROLINA,47,91,1041"
"28,MS,MISSISSIPPI,45,84,1303"
"22,LA,LOUISIANA,41,86,1656"
"25,MA,MASSACHUSETTS,40,75,1315"
"34,NJ,NEW JERSEY,34,52,1053"
"15,HI,HAWAII,31,50,830"
"05,AR,ARKANSAS,27,47,548"
"21,KY,KENTUCKY,24,42,496"
"09,CT,CONNECTICUT,19,32,773"
"54,WV,WEST VIRGINIA,19,43,892"
"33,NH,NEW HAMPSHIRE,17,28,537"
"23,ME,MAINE,15,25,632"
"10,DE,DELAWARE,12,19,336"
"11,DC,DISTRICT OF COLUMBIA,11,17,527"
