"2001 - 2002 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: ,32-NEVADA,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,NV,NV Total Mig - US & For,58006,109837,2693954"
"97,NV,NV Total Mig - US,56723,107622,2650436"
"98,NV,NV Total Mig - Foreign,1283,2215,43518"
"32,NV,NV Non-Migrants,724138,1525478,36358382"
"06,CA,CALIFORNIA,21753,43257,1023718"
"04,AZ,ARIZONA,2950,5568,122176"
"48,TX,TEXAS,2317,4468,89335"
"49,UT,UTAH,2174,4689,103380"
"53,WA,WASHINGTON,2170,4040,96407"
"17,IL,ILLINOIS,2075,3765,100360"
"12,FL,FLORIDA,2002,3489,86824"
"36,NY,NEW YORK,1784,3058,74775"
"08,CO,COLORADO,1682,3081,104101"
"41,OR,OREGON,1342,2513,51891"
"57,FR,Foreign,1283,2215,43518"
"15,HI,HAWAII,1190,2184,37213"
"26,MI,MICHIGAN,1081,1850,45335"
"39,OH,OHIO,1065,1778,43791"
"34,NJ,NEW JERSEY,821,1431,43188"
"16,ID,IDAHO,784,1599,25682"
"35,NM,NEW MEXICO,761,1555,33791"
"42,PA,PENNSYLVANIA,730,1174,31961"
"27,MN,MINNESOTA,659,1110,32771"
"51,VA,VIRGINIA,593,1106,32853"
"18,IN,INDIANA,587,1052,23533"
"29,MO,MISSOURI,580,1054,23836"
"55,WI,WISCONSIN,574,991,24622"
"37,NC,NORTH CAROLINA,483,904,19894"
"13,GA,GEORGIA,478,857,44301"
"30,MT,MONTANA,467,791,17154"
"25,MA,MASSACHUSETTS,439,677,22551"
"40,OK,OKLAHOMA,384,706,18056"
"02,AK,ALASKA,383,705,18088"
"47,TN,TENNESSEE,357,668,15368"
"24,MD,MARYLAND,354,666,20933"
"19,IA,IOWA,347,657,14829"
"22,LA,LOUISIANA,338,642,11907"
"31,NE,NEBRASKA,307,561,13180"
"56,WY,WYOMING,307,552,10031"
"20,KS,KANSAS,306,600,16530"
"09,CT,CONNECTICUT,241,409,76483"
"05,AR,ARKANSAS,237,456,7197"
"28,MS,MISSISSIPPI,228,447,7714"
"45,SC,SOUTH CAROLINA,209,345,7769"
"21,KY,KENTUCKY,206,376,10018"
"01,AL,ALABAMA,190,409,7813"
"46,SD,SOUTH DAKOTA,150,297,7690"
"38,ND,NORTH DAKOTA,142,264,6114"
"33,NH,NEW HAMPSHIRE,135,220,8744"
"23,ME,MAINE,76,145,3468"
"54,WV,WEST VIRGINIA,72,117,2072"
"44,RI,RHODE ISLAND,68,103,2292"
"10,DE,DELAWARE,51,96,2454"
"11,DC,DISTRICT OF COLUMBIA,49,75,5026"
"50,VT,VERMONT,45,65,1216"
