"2001 - 2002 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: ,35-NEW MEXICO,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,NM,NM Total Mig - US & For,31068,62084,1127179"
"97,NM,NM Total Mig - US,29587,59201,1090194"
"98,NM,NM Total Mig - Foreign,1481,2883,36985"
"35,NM,NM Non-Migrants,561648,1249126,21007777"
"48,TX,TEXAS,6061,12934,200019"
"04,AZ,ARIZONA,3784,8524,114012"
"06,CA,CALIFORNIA,3256,6167,129475"
"08,CO,COLORADO,2592,5078,86759"
"57,FR,Foreign,1481,2883,36985"
"12,FL,FLORIDA,1010,1809,38002"
"53,WA,WASHINGTON,758,1432,29629"
"32,NV,NEVADA,703,1412,25314"
"17,IL,ILLINOIS,683,1194,29009"
"40,OK,OKLAHOMA,647,1362,19997"
"36,NY,NEW YORK,638,1053,34016"
"51,VA,VIRGINIA,566,1154,42741"
"49,UT,UTAH,538,1302,16932"
"41,OR,OREGON,464,832,18322"
"39,OH,OHIO,450,842,20575"
"20,KS,KANSAS,425,932,14130"
"37,NC,NORTH CAROLINA,412,785,13801"
"13,GA,GEORGIA,399,811,16174"
"42,PA,PENNSYLVANIA,397,625,18611"
"29,MO,MISSOURI,390,717,7608"
"26,MI,MICHIGAN,364,684,15788"
"55,WI,WISCONSIN,303,504,10857"
"27,MN,MINNESOTA,302,529,14110"
"25,MA,MASSACHUSETTS,290,433,11444"
"24,MD,MARYLAND,272,530,14272"
"18,IN,INDIANA,258,440,11413"
"22,LA,LOUISIANA,247,513,8927"
"47,TN,TENNESSEE,236,465,9599"
"56,WY,WYOMING,230,475,8292"
"02,AK,ALASKA,224,477,8292"
"34,NJ,NEW JERSEY,221,358,12266"
"05,AR,ARKANSAS,216,437,6777"
"30,MT,MONTANA,195,357,5413"
"31,NE,NEBRASKA,193,391,7293"
"16,ID,IDAHO,190,407,6123"
"01,AL,ALABAMA,185,400,7017"
"19,IA,IOWA,182,350,6453"
"45,SC,SOUTH CAROLINA,171,362,7389"
"28,MS,MISSISSIPPI,146,322,4643"
"15,HI,HAWAII,143,294,5030"
"09,CT,CONNECTICUT,136,224,8152"
"46,SD,SOUTH DAKOTA,124,226,4263"
"21,KY,KENTUCKY,122,244,3710"
"33,NH,NEW HAMPSHIRE,85,152,3623"
"23,ME,MAINE,81,127,2087"
"54,WV,WEST VIRGINIA,60,107,1429"
"38,ND,NORTH DAKOTA,59,130,2164"
"11,DC,DISTRICT OF COLUMBIA,58,82,3119"
"50,VT,VERMONT,58,92,1840"
"44,RI,RHODE ISLAND,36,63,1533"
"10,DE,DELAWARE,27,61,1752"
