"2001 - 2002 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: ,45-SOUTH CAROLINA,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,SC,SC Total Mig - US & For,56506,109844,2422869"
"97,SC,SC Total Mig - US,53907,105250,2360181"
"98,SC,SC Total Mig - Foreign,2599,4594,62688"
"45,SC,SC Non-Migrants,1418380,3089035,59808051"
"37,NC,NORTH CAROLINA,10007,19683,408551"
"13,GA,GEORGIA,6194,12333,265037"
"12,FL,FLORIDA,4649,8870,171820"
"36,NY,NEW YORK,3258,6228,131796"
"51,VA,VIRGINIA,3000,5836,141173"
"57,FR,Foreign,2599,4594,62688"
"39,OH,OHIO,2128,3983,102488"
"48,TX,TEXAS,2057,4209,94986"
"42,PA,PENNSYLVANIA,2054,3768,97131"
"06,CA,CALIFORNIA,1885,3813,103636"
"47,TN,TENNESSEE,1566,3124,73231"
"34,NJ,NEW JERSEY,1522,2933,86929"
"24,MD,MARYLAND,1331,2497,57534"
"17,IL,ILLINOIS,1098,2105,57440"
"26,MI,MICHIGAN,1090,2108,49447"
"01,AL,ALABAMA,913,1926,37262"
"18,IN,INDIANA,813,1608,35072"
"21,KY,KENTUCKY,748,1522,30928"
"25,MA,MASSACHUSETTS,734,1283,37614"
"09,CT,CONNECTICUT,656,1219,44114"
"54,WV,WEST VIRGINIA,641,1139,21392"
"08,CO,COLORADO,617,1190,23240"
"22,LA,LOUISIANA,518,1039,18900"
"29,MO,MISSOURI,498,973,24903"
"53,WA,WASHINGTON,490,997,18579"
"04,AZ,ARIZONA,452,886,26012"
"28,MS,MISSISSIPPI,450,916,15308"
"55,WI,WISCONSIN,402,776,21002"
"40,OK,OKLAHOMA,365,748,12500"
"20,KS,KANSAS,305,708,12283"
"05,AR,ARKANSAS,272,552,12362"
"15,HI,HAWAII,265,625,10164"
"33,NH,NEW HAMPSHIRE,246,448,9749"
"19,IA,IOWA,243,480,11180"
"27,MN,MINNESOTA,230,445,12386"
"35,NM,NEW MEXICO,219,443,9212"
"23,ME,MAINE,203,387,8957"
"32,NV,NEVADA,198,355,6072"
"41,OR,OREGON,173,295,4767"
"11,DC,DISTRICT OF COLUMBIA,165,287,7785"
"50,VT,VERMONT,148,256,5500"
"49,UT,UTAH,146,317,4767"
"02,AK,ALASKA,145,329,4761"
"31,NE,NEBRASKA,144,281,6168"
"10,DE,DELAWARE,138,270,7962"
"44,RI,RHODE ISLAND,136,264,5727"
"16,ID,IDAHO,95,196,3148"
"56,WY,WYOMING,87,165,2820"
"30,MT,MONTANA,80,168,2087"
"38,ND,NORTH DAKOTA,72,149,2179"
"46,SD,SOUTH DAKOTA,61,118,2122"
