"2001 - 2002 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: ,48-TEXAS,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,TX,TX Total Mig - US & For,196447,398262,8465846"
"97,TX,TX Total Mig - US,180257,370616,8018682"
"98,TX,TX Total Mig - Foreign,16190,27646,447164"
"48,TX,TX Non-Migrants,6992554,16062403,334951495"
"06,CA,CALIFORNIA,21163,44091,1027272"
"57,FR,Foreign,16190,27646,447164"
"22,LA,LOUISIANA,11835,24097,495755"
"12,FL,FLORIDA,11152,22407,464436"
"40,OK,OKLAHOMA,10293,20953,397190"
"17,IL,ILLINOIS,7406,15716,393719"
"08,CO,COLORADO,7085,14443,328181"
"13,GA,GEORGIA,6357,13824,313706"
"35,NM,NEW MEXICO,6116,13115,204431"
"36,NY,NEW YORK,5783,10843,277302"
"04,AZ,ARIZONA,5589,11581,243801"
"05,AR,ARKANSAS,5533,11307,193707"
"51,VA,VIRGINIA,5021,10627,269817"
"37,NC,NORTH CAROLINA,4954,10484,199539"
"29,MO,MISSOURI,4732,9370,198954"
"20,KS,KANSAS,4400,9507,203909"
"39,OH,OHIO,4356,8465,202399"
"53,WA,WASHINGTON,4153,8769,183826"
"26,MI,MICHIGAN,4116,8310,185775"
"47,TN,TENNESSEE,3873,7903,165682"
"42,PA,PENNSYLVANIA,3230,6319,174982"
"18,IN,INDIANA,3225,6494,126135"
"28,MS,MISSISSIPPI,3106,6391,103328"
"01,AL,ALABAMA,2985,6288,118310"
"27,MN,MINNESOTA,2702,5653,114577"
"24,MD,MARYLAND,2601,5278,133777"
"34,NJ,NEW JERSEY,2430,4973,154839"
"45,SC,SOUTH CAROLINA,2139,4471,89087"
"32,NV,NEVADA,2109,4081,74032"
"55,WI,WISCONSIN,2093,4079,85797"
"25,MA,MASSACHUSETTS,2077,3701,123975"
"21,KY,KENTUCKY,1946,4178,75175"
"19,IA,IOWA,1919,3792,77199"
"31,NE,NEBRASKA,1691,3482,62962"
"49,UT,UTAH,1653,4025,75503"
"41,OR,OREGON,1563,3156,65845"
"15,HI,HAWAII,1324,3006,46568"
"09,CT,CONNECTICUT,1076,2144,100915"
"02,AK,ALASKA,886,2065,40354"
"16,ID,IDAHO,834,1915,29691"
"30,MT,MONTANA,626,1243,19755"
"56,WY,WYOMING,593,1186,21225"
"46,SD,SOUTH DAKOTA,543,1088,17002"
"54,WV,WEST VIRGINIA,541,1086,25780"
"33,NH,NEW HAMPSHIRE,432,866,29601"
"38,ND,NORTH DAKOTA,420,851,11948"
"23,ME,MAINE,413,767,14253"
"11,DC,DISTRICT OF COLUMBIA,389,602,17807"
"10,DE,DELAWARE,331,712,18692"
"44,RI,RHODE ISLAND,273,564,13407"
"50,VT,VERMONT,190,348,6761"
