"2001 - 2002 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,53-WASHINGTON,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,WA,WA Total Mig - US & For,85685,159342,3600792"
"97,WA,WA Total Mig - US,79269,148523,3422217"
"98,WA,WA Total Mig - Foreign,6416,10819,178574"
"53,WA,WA Non-Migrants,2155369,4636966,117700077"
"06,CA,CALIFORNIA,15930,30082,768304"
"41,OR,OREGON,11363,21221,449997"
"57,FR,Foreign,6416,10819,178574"
"48,TX,TEXAS,4260,8594,214584"
"16,ID,IDAHO,3791,7219,128383"
"04,AZ,ARIZONA,3414,6201,143810"
"08,CO,COLORADO,2650,4756,116222"
"12,FL,FLORIDA,2394,4400,94065"
"30,MT,MONTANA,2034,3496,60913"
"02,AK,ALASKA,1825,3487,77805"
"17,IL,ILLINOIS,1824,3210,103212"
"32,NV,NEVADA,1810,3346,66282"
"36,NY,NEW YORK,1799,2962,77415"
"49,UT,UTAH,1614,3459,59507"
"15,HI,HAWAII,1606,3198,55466"
"51,VA,VIRGINIA,1542,3160,73101"
"13,GA,GEORGIA,1398,2816,64452"
"37,NC,NORTH CAROLINA,1255,2488,53476"
"39,OH,OHIO,1234,2155,58468"
"27,MN,MINNESOTA,1192,1993,45486"
"26,MI,MICHIGAN,1172,1994,61622"
"42,PA,PENNSYLVANIA,1010,1683,47179"
"25,MA,MASSACHUSETTS,935,1463,48043"
"29,MO,MISSOURI,932,1761,35223"
"55,WI,WISCONSIN,880,1435,34864"
"24,MD,MARYLAND,820,1565,50669"
"18,IN,INDIANA,747,1388,31960"
"40,OK,OKLAHOMA,726,1570,24400"
"35,NM,NEW MEXICO,710,1311,26568"
"20,KS,KANSAS,707,1482,27425"
"47,TN,TENNESSEE,697,1374,29541"
"34,NJ,NEW JERSEY,647,1186,46482"
"22,LA,LOUISIANA,585,1133,19838"
"45,SC,SOUTH CAROLINA,585,1191,25167"
"19,IA,IOWA,522,936,17311"
"09,CT,CONNECTICUT,519,976,38145"
"01,AL,ALABAMA,472,977,19498"
"31,NE,NEBRASKA,453,904,17109"
"21,KY,KENTUCKY,419,896,14335"
"56,WY,WYOMING,401,767,13781"
"05,AR,ARKANSAS,353,693,10934"
"28,MS,MISSISSIPPI,325,641,10191"
"38,ND,NORTH DAKOTA,304,537,8598"
"46,SD,SOUTH DAKOTA,301,583,9610"
"23,ME,MAINE,233,419,7831"
"33,NH,NEW HAMPSHIRE,208,335,8322"
"11,DC,DISTRICT OF COLUMBIA,183,276,9767"
"50,VT,VERMONT,139,184,3623"
"44,RI,RHODE ISLAND,128,229,5066"
"54,WV,WEST VIRGINIA,128,214,4262"
"10,DE,DELAWARE,93,177,3905"
