"2001 - 2002 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,56-WYOMING,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,WY,WY Total Mig - US & For,12026,23728,490346"
"97,WY,WY Total Mig - US,11698,23140,483131"
"98,WY,WY Total Mig - Foreign,328,588,7215"
"56,WY,WY Non-Migrants,176818,389560,8601087"
"08,CO,COLORADO,1862,3608,69751"
"06,CA,CALIFORNIA,849,1584,33892"
"49,UT,UTAH,783,1784,25257"
"30,MT,MONTANA,728,1470,23890"
"48,TX,TEXAS,640,1403,27037"
"46,SD,SOUTH DAKOTA,504,1014,18809"
"31,NE,NEBRASKA,472,925,14084"
"04,AZ,ARIZONA,446,838,16293"
"16,ID,IDAHO,441,898,14330"
"53,WA,WASHINGTON,363,705,11881"
"32,NV,NEVADA,345,759,13115"
"57,FR,Foreign,328,588,7215"
"41,OR,OREGON,265,518,12009"
"12,FL,FLORIDA,253,463,8964"
"27,MN,MINNESOTA,218,403,7617"
"20,KS,KANSAS,195,399,6865"
"35,NM,NEW MEXICO,186,414,5255"
"17,IL,ILLINOIS,179,306,6933"
"38,ND,NORTH DAKOTA,178,378,6729"
"29,MO,MISSOURI,176,374,6443"
"39,OH,OHIO,172,338,8501"
"40,OK,OKLAHOMA,170,364,5821"
"26,MI,MICHIGAN,166,292,5693"
"55,WI,WISCONSIN,155,278,4356"
"19,IA,IOWA,150,290,6552"
"42,PA,PENNSYLVANIA,140,252,8665"
"36,NY,NEW YORK,139,222,5210"
"37,NC,NORTH CAROLINA,137,253,4589"
"51,VA,VIRGINIA,129,257,4990"
"18,IN,INDIANA,109,190,3597"
"02,AK,ALASKA,106,221,4979"
"13,GA,GEORGIA,105,184,4866"
"22,LA,LOUISIANA,98,209,4262"
"47,TN,TENNESSEE,90,181,4127"
"05,AR,ARKANSAS,79,168,3496"
"01,AL,ALABAMA,76,149,2483"
"25,MA,MASSACHUSETTS,68,104,5251"
"21,KY,KENTUCKY,62,114,3920"
"24,MD,MARYLAND,59,93,49305"
"45,SC,SOUTH CAROLINA,59,110,2378"
"28,MS,MISSISSIPPI,55,122,1550"
"34,NJ,NEW JERSEY,49,78,1822"
"15,HI,HAWAII,45,97,1404"
"33,NH,NEW HAMPSHIRE,42,73,1297"
"54,WV,WEST VIRGINIA,35,64,975"
"23,ME,MAINE,33,53,767"
"09,CT,CONNECTICUT,32,57,1122"
"50,VT,VERMONT,25,35,578"
"10,DE,DELAWARE,12,27,578"
"11,DC,DISTRICT OF COLUMBIA,10,12,619"
"44,RI,RHODE ISLAND,8,10,221"
