"2001 - 2002 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,02-ALASKA,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,AK,AK Total Mig - US & For,14052,28522,542571"
"97,AK,AK Total Mig - US,13514,27448,523005"
"98,AK,AK Total Mig - Foreign,538,1074,19566"
"02,AK,AK Non-Migrants,211261,465216,11404252"
"53,WA,WASHINGTON,1825,3487,77805"
"06,CA,CALIFORNIA,1313,2337,41905"
"41,OR,OREGON,886,1574,33142"
"48,TX,TEXAS,886,2065,40354"
"04,AZ,ARIZONA,640,1180,25694"
"12,FL,FLORIDA,604,1299,22141"
"57,FR,Foreign,538,1074,19566"
"08,CO,COLORADO,520,1006,21108"
"37,NC,NORTH CAROLINA,409,958,13244"
"32,NV,NEVADA,383,705,18088"
"16,ID,IDAHO,354,729,15428"
"13,GA,GEORGIA,341,780,11846"
"51,VA,VIRGINIA,315,718,13432"
"30,MT,MONTANA,297,559,11105"
"36,NY,NEW YORK,267,533,8046"
"15,HI,HAWAII,256,515,9688"
"49,UT,UTAH,249,508,8261"
"35,NM,NEW MEXICO,224,477,8292"
"27,MN,MINNESOTA,206,400,8068"
"26,MI,MICHIGAN,199,413,7423"
"40,OK,OKLAHOMA,197,466,8587"
"17,IL,ILLINOIS,190,353,7826"
"24,MD,MARYLAND,189,388,7812"
"39,OH,OHIO,186,384,6636"
"42,PA,PENNSYLVANIA,172,307,5897"
"47,TN,TENNESSEE,169,399,7142"
"29,MO,MISSOURI,163,365,5291"
"22,LA,LOUISIANA,158,388,5911"
"01,AL,ALABAMA,154,388,5665"
"45,SC,SOUTH CAROLINA,145,329,4761"
"55,WI,WISCONSIN,145,275,5548"
"20,KS,KANSAS,141,340,5554"
"21,KY,KENTUCKY,123,275,4135"
"25,MA,MASSACHUSETTS,119,218,4671"
"05,AR,ARKANSAS,114,250,4235"
"18,IN,INDIANA,108,218,4153"
"56,WY,WYOMING,106,221,4979"
"34,NJ,NEW JERSEY,90,171,2997"
"38,ND,NORTH DAKOTA,87,211,3492"
"28,MS,MISSISSIPPI,82,194,2713"
"46,SD,SOUTH DAKOTA,78,169,3559"
"31,NE,NEBRASKA,72,178,2848"
"23,ME,MAINE,69,122,2564"
"19,IA,IOWA,58,127,2055"
"09,CT,CONNECTICUT,56,121,2145"
"33,NH,NEW HAMPSHIRE,45,90,2382"
"10,DE,DELAWARE,28,65,721"
"54,WV,WEST VIRGINIA,28,54,1045"
"50,VT,VERMONT,27,65,1153"
"11,DC,DISTRICT OF COLUMBIA,22,35,869"
"44,RI,RHODE ISLAND,19,39,590"
