"2001 - 2002 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,10-DELAWARE,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,DE,DE Total Mig - US & For,12327,22957,615801"
"97,DE,DE Total Mig - US,11991,22357,604618"
"98,DE,DE Total Mig - Foreign,336,600,11183"
"10,DE,DE Non-Migrants,294904,623644,15991012"
"42,PA,PENNSYLVANIA,2839,5449,168998"
"24,MD,MARYLAND,2223,3958,90302"
"12,FL,FLORIDA,981,1792,55534"
"34,NJ,NEW JERSEY,938,1656,44942"
"51,VA,VIRGINIA,611,1132,28846"
"36,NY,NEW YORK,534,940,21283"
"06,CA,CALIFORNIA,417,644,18691"
"37,NC,NORTH CAROLINA,411,777,20713"
"57,FR,Foreign,336,600,11183"
"48,TX,TEXAS,331,712,18692"
"13,GA,GEORGIA,282,533,12838"
"25,MA,MASSACHUSETTS,199,306,11731"
"39,OH,OHIO,164,317,7067"
"17,IL,ILLINOIS,159,331,9757"
"45,SC,SOUTH CAROLINA,138,270,7962"
"47,TN,TENNESSEE,119,252,7234"
"09,CT,CONNECTICUT,118,226,7421"
"08,CO,COLORADO,113,192,5660"
"04,AZ,ARIZONA,108,203,5823"
"26,MI,MICHIGAN,100,200,5366"
"53,WA,WASHINGTON,93,177,3905"
"54,WV,WEST VIRGINIA,78,133,3006"
"29,MO,MISSOURI,75,171,4455"
"18,IN,INDIANA,69,150,2893"
"11,DC,DISTRICT OF COLUMBIA,64,89,2182"
"55,WI,WISCONSIN,60,119,2792"
"01,AL,ALABAMA,58,133,2634"
"21,KY,KENTUCKY,56,123,1769"
"32,NV,NEVADA,51,96,2454"
"40,OK,OKLAHOMA,48,102,1393"
"23,ME,MAINE,46,82,2712"
"22,LA,LOUISIANA,43,91,1703"
"28,MS,MISSISSIPPI,40,98,2320"
"27,MN,MINNESOTA,39,78,2984"
"33,NH,NEW HAMPSHIRE,39,77,2984"
"05,AR,ARKANSAS,36,85,1372"
"41,OR,OREGON,34,60,1349"
"20,KS,KANSAS,32,77,1569"
"02,AK,ALASKA,31,80,1026"
"15,HI,HAWAII,29,60,667"
"35,NM,NEW MEXICO,27,61,1752"
"49,UT,UTAH,27,59,1939"
"44,RI,RHODE ISLAND,21,46,1159"
"19,IA,IOWA,20,44,967"
"31,NE,NEBRASKA,19,38,552"
"50,VT,VERMONT,16,31,910"
"30,MT,MONTANA,13,30,454"
"16,ID,IDAHO,12,17,477"
"38,ND,NORTH DAKOTA,12,19,336"
"56,WY,WYOMING,12,27,578"
"46,SD,SOUTH DAKOTA,6,14,467"
