"2001 - 2002 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,26-MICHIGAN,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,MI,MI Total Mig - US & For,75755,137748,3554080"
"97,MI,MI Total Mig - US,73139,133174,3429897"
"98,MI,MI Total Mig - Foreign,2616,4574,124183"
"26,MI,MI Non-Migrants,3638938,8001825,188550663"
"12,FL,FLORIDA,9905,17548,537236"
"39,OH,OHIO,5615,10554,247103"
"17,IL,ILLINOIS,5243,8480,250700"
"06,CA,CALIFORNIA,5184,8601,267028"
"18,IN,INDIANA,4266,8404,179275"
"48,TX,TEXAS,4116,8310,185775"
"04,AZ,ARIZONA,2775,4858,128867"
"57,FR,Foreign,2616,4574,124183"
"13,GA,GEORGIA,2597,5050,115910"
"55,WI,WISCONSIN,2557,4744,101462"
"36,NY,NEW YORK,2379,3806,106275"
"47,TN,TENNESSEE,2313,4658,99091"
"37,NC,NORTH CAROLINA,2227,4167,119392"
"51,VA,VIRGINIA,1951,3456,89914"
"08,CO,COLORADO,1857,2964,75713"
"42,PA,PENNSYLVANIA,1504,2898,84139"
"21,KY,KENTUCKY,1336,2726,51381"
"27,MN,MINNESOTA,1318,2391,59875"
"29,MO,MISSOURI,1209,2463,55156"
"53,WA,WASHINGTON,1172,1994,61622"
"45,SC,SOUTH CAROLINA,1090,2108,49447"
"32,NV,NEVADA,1081,1850,45335"
"25,MA,MASSACHUSETTS,1003,1552,60991"
"24,MD,MARYLAND,978,1707,46742"
"01,AL,ALABAMA,917,1858,35122"
"34,NJ,NEW JERSEY,853,1547,56372"
"41,OR,OREGON,661,1094,25198"
"22,LA,LOUISIANA,545,964,19687"
"05,AR,ARKANSAS,531,1071,15532"
"19,IA,IOWA,518,1047,24041"
"09,CT,CONNECTICUT,512,947,40485"
"28,MS,MISSISSIPPI,494,1053,16225"
"40,OK,OKLAHOMA,472,944,17756"
"20,KS,KANSAS,459,985,20211"
"35,NM,NEW MEXICO,364,684,15788"
"49,UT,UTAH,311,616,11301"
"15,HI,HAWAII,278,425,8605"
"54,WV,WEST VIRGINIA,275,559,9767"
"02,AK,ALASKA,260,449,7461"
"11,DC,DISTRICT OF COLUMBIA,251,289,10321"
"30,MT,MONTANA,247,427,8231"
"31,NE,NEBRASKA,240,480,11461"
"23,ME,MAINE,197,367,8427"
"33,NH,NEW HAMPSHIRE,180,377,12084"
"16,ID,IDAHO,176,372,7713"
"56,WY,WYOMING,166,292,5693"
"10,DE,DELAWARE,124,233,6369"
"44,RI,RHODE ISLAND,118,202,6420"
"50,VT,VERMONT,116,211,4965"
"46,SD,SOUTH DAKOTA,107,211,3425"
"38,ND,NORTH DAKOTA,91,181,2806"
