"2001 - 2002 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,38-NORTH DAKOTA,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,ND,ND Total Mig - US & For,11071,20234,373065"
"97,ND,ND Total Mig - US,10683,19510,363787"
"98,ND,ND Total Mig - Foreign,388,724,9278"
"38,ND,ND Non-Migrants,237373,520390,9890035"
"27,MN,MINNESOTA,3663,6164,122967"
"46,SD,SOUTH DAKOTA,652,1259,19642"
"08,CO,COLORADO,543,869,17979"
"06,CA,CALIFORNIA,444,787,15434"
"30,MT,MONTANA,427,803,12654"
"48,TX,TEXAS,420,851,11948"
"04,AZ,ARIZONA,410,685,14907"
"57,FR,Foreign,388,724,9278"
"53,WA,WASHINGTON,304,537,8598"
"12,FL,FLORIDA,298,550,12609"
"55,WI,WISCONSIN,282,544,11161"
"17,IL,ILLINOIS,196,382,7401"
"19,IA,IOWA,188,343,6570"
"31,NE,NEBRASKA,185,426,7247"
"56,WY,WYOMING,178,378,6729"
"41,OR,OREGON,148,257,4174"
"51,VA,VIRGINIA,147,344,6124"
"32,NV,NEVADA,142,264,6114"
"16,ID,IDAHO,141,261,5061"
"29,MO,MISSOURI,136,299,4512"
"20,KS,KANSAS,130,235,4123"
"39,OH,OHIO,126,261,4075"
"26,MI,MICHIGAN,104,197,4026"
"13,GA,GEORGIA,101,193,3005"
"36,NY,NEW YORK,96,139,2444"
"40,OK,OKLAHOMA,93,189,3203"
"37,NC,NORTH CAROLINA,88,164,2654"
"42,PA,PENNSYLVANIA,86,144,3217"
"49,UT,UTAH,83,187,2792"
"02,AK,ALASKA,82,163,3659"
"18,IN,INDIANA,80,165,3793"
"45,SC,SOUTH CAROLINA,72,149,2179"
"24,MD,MARYLAND,64,115,1989"
"35,NM,NEW MEXICO,59,130,2164"
"47,TN,TENNESSEE,57,125,2247"
"34,NJ,NEW JERSEY,51,100,1876"
"22,LA,LOUISIANA,50,104,1691"
"01,AL,ALABAMA,47,118,1846"
"25,MA,MASSACHUSETTS,42,73,1077"
"15,HI,HAWAII,41,103,1609"
"21,KY,KENTUCKY,41,80,1418"
"28,MS,MISSISSIPPI,36,87,1423"
"05,AR,ARKANSAS,30,65,1074"
"33,NH,NEW HAMPSHIRE,21,33,1133"
"23,ME,MAINE,20,51,746"
"09,CT,CONNECTICUT,19,27,525"
"54,WV,WEST VIRGINIA,18,37,418"
"10,DE,DELAWARE,15,31,580"
"11,DC,DISTRICT OF COLUMBIA,11,15,506"
"44,RI,RHODE ISLAND,11,20,341"
"50,VT,VERMONT,5,7,123"
