"2001 - 2002 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,51-VIRGINIA,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,VA,VA Total Mig - US & For,111993,214188,5517182"
"97,VA,VA Total Mig - US,104522,199406,5203121"
"98,VA,VA Total Mig - Foreign,7471,14782,314061"
"51,VA,VA Non-Migrants,2603215,5581505,146302946"
"24,MD,MARYLAND,12418,22208,648358"
"37,NC,NORTH CAROLINA,10868,20996,440001"
"12,FL,FLORIDA,10185,20093,611571"
"57,FR,Foreign,7471,14782,314061"
"06,CA,CALIFORNIA,7294,13596,366021"
"48,TX,TEXAS,5021,10627,269817"
"36,NY,NEW YORK,4941,8266,211861"
"42,PA,PENNSYLVANIA,4655,8652,226885"
"13,GA,GEORGIA,4243,8419,219881"
"11,DC,DISTRICT OF COLUMBIA,4159,5752,230768"
"47,TN,TENNESSEE,3220,6292,133090"
"45,SC,SOUTH CAROLINA,3000,5836,141173"
"54,WV,WEST VIRGINIA,2837,5984,112433"
"34,NJ,NEW JERSEY,2506,4584,132837"
"39,OH,OHIO,2445,4768,105486"
"17,IL,ILLINOIS,2038,3952,112298"
"25,MA,MASSACHUSETTS,1833,2973,101673"
"08,CO,COLORADO,1801,3328,105487"
"53,WA,WASHINGTON,1542,3160,73101"
"04,AZ,ARIZONA,1412,2757,81655"
"26,MI,MICHIGAN,1345,2607,61890"
"21,KY,KENTUCKY,1127,2315,48048"
"01,AL,ALABAMA,1087,2483,55274"
"09,CT,CONNECTICUT,1063,2060,63130"
"18,IN,INDIANA,1033,2064,47723"
"15,HI,HAWAII,955,2279,44856"
"29,MO,MISSOURI,946,1925,45194"
"22,LA,LOUISIANA,921,1832,35525"
"10,DE,DELAWARE,732,1366,36797"
"28,MS,MISSISSIPPI,692,1486,27211"
"40,OK,OKLAHOMA,668,1370,25338"
"20,KS,KANSAS,661,1620,33562"
"27,MN,MINNESOTA,595,1121,33003"
"32,NV,NEVADA,593,1106,32853"
"55,WI,WISCONSIN,579,1182,26713"
"35,NM,NEW MEXICO,566,1154,42741"
"23,ME,MAINE,533,1115,24328"
"41,OR,OREGON,524,901,25663"
"33,NH,NEW HAMPSHIRE,447,851,34724"
"49,UT,UTAH,444,936,20293"
"44,RI,RHODE ISLAND,434,974,21084"
"05,AR,ARKANSAS,403,846,15550"
"19,IA,IOWA,298,576,12950"
"31,NE,NEBRASKA,257,597,11304"
"02,AK,ALASKA,249,497,9327"
"50,VT,VERMONT,208,383,9861"
"16,ID,IDAHO,206,461,11324"
"30,MT,MONTANA,195,349,7659"
"56,WY,WYOMING,129,257,4990"
"46,SD,SOUTH DAKOTA,120,226,5828"
"38,ND,NORTH DAKOTA,94,224,3984"
