"2002 - 2003 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: ,22-LOUISIANA,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,LA,LA Total Mig - US & For,36847,71514,1245441"
"97,LA,LA Total Mig - US,34321,67560,1199362"
"98,LA,LA Total Mig - Foreign,2526,3954,46079"
"22,LA,LA Non-Migrants,1475170,3368786,59809914"
"48,TX,TEXAS,8108,16444,300755"
"28,MS,MISSISSIPPI,3006,6080,91044"
"57,FR,Foreign,2526,3954,46079"
"12,FL,FLORIDA,2431,4560,82451"
"06,CA,CALIFORNIA,2205,4150,74892"
"13,GA,GEORGIA,1717,3520,55975"
"01,AL,ALABAMA,1235,2514,46240"
"05,AR,ARKANSAS,1192,2471,36399"
"37,NC,NORTH CAROLINA,1025,2079,35417"
"47,TN,TENNESSEE,961,1927,35068"
"51,VA,VIRGINIA,936,1888,36937"
"36,NY,NEW YORK,827,1427,27260"
"17,IL,ILLINOIS,811,1475,31730"
"29,MO,MISSOURI,659,1309,22086"
"40,OK,OKLAHOMA,635,1292,21642"
"08,CO,COLORADO,621,1191,20316"
"39,OH,OHIO,614,1151,23915"
"53,WA,WASHINGTON,529,1071,17055"
"26,MI,MICHIGAN,465,931,15696"
"42,PA,PENNSYLVANIA,442,793,15649"
"45,SC,SOUTH CAROLINA,440,852,15530"
"24,MD,MARYLAND,406,749,13785"
"04,AZ,ARIZONA,405,798,14340"
"21,KY,KENTUCKY,383,831,13203"
"18,IN,INDIANA,370,717,12559"
"25,MA,MASSACHUSETTS,318,502,11778"
"20,KS,KANSAS,316,697,11568"
"34,NJ,NEW JERSEY,307,562,14712"
"32,NV,NEVADA,263,497,9660"
"55,WI,WISCONSIN,251,455,7914"
"15,HI,HAWAII,241,545,7414"
"35,NM,NEW MEXICO,228,423,7076"
"27,MN,MINNESOTA,218,388,7989"
"09,CT,CONNECTICUT,189,320,7927"
"02,AK,ALASKA,185,427,7022"
"41,OR,OREGON,180,309,5525"
"19,IA,IOWA,162,262,4968"
"31,NE,NEBRASKA,153,323,5490"
"49,UT,UTAH,128,284,3024"
"11,DC,DISTRICT OF COLUMBIA,86,111,4208"
"16,ID,IDAHO,85,157,3314"
"30,MT,MONTANA,83,149,2889"
"54,WV,WEST VIRGINIA,78,163,1996"
"56,WY,WYOMING,72,129,2446"
"23,ME,MAINE,71,125,2699"
"38,ND,NORTH DAKOTA,65,125,1946"
"44,RI,RHODE ISLAND,53,98,2184"
"33,NH,NEW HAMPSHIRE,49,89,1869"
"10,DE,DELAWARE,43,82,1890"
"46,SD,SOUTH DAKOTA,42,74,1177"
"50,VT,VERMONT,32,44,736"
