"2002 - 2003 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: ,23-MAINE,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,ME,ME Total Mig - US & For,17547,31720,753643"
"97,ME,ME Total Mig - US,16689,30471,736201"
"98,ME,ME Total Mig - Foreign,858,1249,17441"
"23,ME,ME Non-Migrants,485419,1020917,21272823"
"25,MA,MASSACHUSETTS,3241,5794,152465"
"33,NH,NEW HAMPSHIRE,2393,4244,101063"
"12,FL,FLORIDA,1480,2609,50467"
"36,NY,NEW YORK,955,1678,62229"
"57,FR,Foreign,858,1249,17441"
"09,CT,CONNECTICUT,786,1362,39584"
"06,CA,CALIFORNIA,722,1312,33277"
"51,VA,VIRGINIA,584,1224,24065"
"42,PA,PENNSYLVANIA,519,933,31212"
"34,NJ,NEW JERSEY,432,832,24546"
"50,VT,VERMONT,411,680,14373"
"48,TX,TEXAS,391,770,15545"
"37,NC,NORTH CAROLINA,377,725,13145"
"08,CO,COLORADO,322,566,12111"
"13,GA,GEORGIA,316,653,10451"
"44,RI,RHODE ISLAND,293,535,10425"
"24,MD,MARYLAND,283,509,16891"
"39,OH,OHIO,252,448,11084"
"53,WA,WASHINGTON,239,456,7929"
"04,AZ,ARIZONA,215,385,6744"
"17,IL,ILLINOIS,211,406,11865"
"26,MI,MICHIGAN,169,318,6645"
"45,SC,SOUTH CAROLINA,166,322,6062"
"47,TN,TENNESSEE,144,281,5592"
"41,OR,OREGON,122,207,3433"
"27,MN,MINNESOTA,121,244,5409"
"55,WI,WISCONSIN,104,181,4472"
"18,IN,INDIANA,103,211,4305"
"02,AK,ALASKA,95,183,3543"
"29,MO,MISSOURI,93,186,4758"
"21,KY,KENTUCKY,80,173,2908"
"22,LA,LOUISIANA,78,140,2591"
"15,HI,HAWAII,77,169,3259"
"32,NV,NEVADA,77,122,2841"
"35,NM,NEW MEXICO,76,137,1794"
"49,UT,UTAH,75,153,4430"
"40,OK,OKLAHOMA,73,154,2514"
"20,KS,KANSAS,68,144,2596"
"30,MT,MONTANA,62,102,1764"
"10,DE,DELAWARE,58,107,2505"
"01,AL,ALABAMA,51,104,1780"
"28,MS,MISSISSIPPI,49,128,2195"
"05,AR,ARKANSAS,47,78,2056"
"11,DC,DISTRICT OF COLUMBIA,47,68,1965"
"54,WV,WEST VIRGINIA,46,94,1281"
"19,IA,IOWA,45,68,1249"
"31,NE,NEBRASKA,45,89,1764"
"56,WY,WYOMING,37,61,908"
"16,ID,IDAHO,32,76,1316"
"46,SD,SOUTH DAKOTA,18,32,398"
"38,ND,NORTH DAKOTA,9,18,400"
