"2002 - 2003 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: ,25-MASSACHUSETTS,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,MA,MA Total Mig - US & For,66266,100656,2999343"
"97,MA,MA Total Mig - US,59234,92107,2878627"
"98,MA,MA Total Mig - Foreign,7032,8549,120716"
"25,MA,MA Non-Migrants,2438469,5020904,150306047"
"36,NY,NEW YORK,8013,12149,383653"
"57,FR,Foreign,7032,8549,120716"
"33,NH,NEW HAMPSHIRE,5572,8687,245020"
"06,CA,CALIFORNIA,5246,7921,295933"
"12,FL,FLORIDA,5234,8473,193734"
"09,CT,CONNECTICUT,4492,6750,276529"
"44,RI,RHODE ISLAND,3647,5894,153781"
"34,NJ,NEW JERSEY,2558,4069,182277"
"42,PA,PENNSYLVANIA,2269,3531,125164"
"23,ME,MAINE,1650,2341,59563"
"51,VA,VIRGINIA,1644,2631,83170"
"48,TX,TEXAS,1597,2709,85358"
"17,IL,ILLINOIS,1444,2174,79950"
"37,NC,NORTH CAROLINA,1314,2151,49725"
"24,MD,MARYLAND,1177,1862,68483"
"50,VT,VERMONT,1097,1494,36780"
"13,GA,GEORGIA,1081,1797,51716"
"39,OH,OHIO,1072,1698,64707"
"08,CO,COLORADO,1020,1462,43807"
"26,MI,MICHIGAN,841,1276,39147"
"53,WA,WASHINGTON,791,1233,44541"
"04,AZ,ARIZONA,746,1174,29797"
"27,MN,MINNESOTA,500,760,25531"
"11,DC,DISTRICT OF COLUMBIA,480,592,25702"
"41,OR,OREGON,473,674,16693"
"45,SC,SOUTH CAROLINA,457,755,16304"
"55,WI,WISCONSIN,452,679,17210"
"29,MO,MISSOURI,424,662,25972"
"18,IN,INDIANA,405,648,17811"
"47,TN,TENNESSEE,397,644,15007"
"49,UT,UTAH,280,549,12014"
"22,LA,LOUISIANA,266,420,8986"
"32,NV,NEVADA,247,377,13431"
"21,KY,KENTUCKY,215,356,9444"
"35,NM,NEW MEXICO,211,348,7557"
"15,HI,HAWAII,194,317,6787"
"40,OK,OKLAHOMA,191,342,7157"
"19,IA,IOWA,188,282,5456"
"01,AL,ALABAMA,187,353,8203"
"20,KS,KANSAS,182,316,9119"
"10,DE,DELAWARE,176,304,10584"
"31,NE,NEBRASKA,127,205,4658"
"02,AK,ALASKA,115,187,4463"
"28,MS,MISSISSIPPI,109,180,2927"
"54,WV,WEST VIRGINIA,88,136,2531"
"05,AR,ARKANSAS,82,143,2914"
"30,MT,MONTANA,78,95,1548"
"16,ID,IDAHO,76,117,3722"
"56,WY,WYOMING,58,80,1664"
"38,ND,NORTH DAKOTA,38,56,1220"
"46,SD,SOUTH DAKOTA,33,54,1177"
