"2002 - 2003 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: ,41-OREGON,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,OR,OR Total Mig - US & For,49894,89426,1860703"
"97,OR,OR Total Mig - US,48480,87400,1831775"
"98,OR,OR Total Mig - Foreign,1414,2026,28929"
"41,OR,OR Non-Migrants,1198754,2584000,56784286"
"06,CA,CALIFORNIA,13304,25154,582116"
"53,WA,WASHINGTON,9502,17026,327218"
"04,AZ,ARIZONA,2172,4017,80293"
"16,ID,IDAHO,1845,3648,51043"
"08,CO,COLORADO,1794,3046,66059"
"48,TX,TEXAS,1652,3107,65397"
"57,FR,Foreign,1414,2026,28929"
"32,NV,NEVADA,1385,2565,42786"
"49,UT,UTAH,1080,2312,36187"
"12,FL,FLORIDA,1024,1741,37366"
"30,MT,MONTANA,907,1509,21914"
"02,AK,ALASKA,863,1532,32068"
"36,NY,NEW YORK,816,1223,32540"
"17,IL,ILLINOIS,813,1392,34594"
"27,MN,MINNESOTA,682,1073,29423"
"26,MI,MICHIGAN,626,999,21515"
"39,OH,OHIO,612,978,24661"
"15,HI,HAWAII,605,1003,17611"
"51,VA,VIRGINIA,540,934,29942"
"25,MA,MASSACHUSETTS,511,783,21295"
"29,MO,MISSOURI,509,884,17683"
"55,WI,WISCONSIN,500,762,15912"
"35,NM,NEW MEXICO,483,894,18122"
"37,NC,NORTH CAROLINA,469,828,15652"
"13,GA,GEORGIA,458,810,18552"
"42,PA,PENNSYLVANIA,447,753,20476"
"18,IN,INDIANA,368,598,12753"
"56,WY,WYOMING,344,555,8681"
"40,OK,OKLAHOMA,329,636,8121"
"20,KS,KANSAS,327,579,11750"
"19,IA,IOWA,320,547,10033"
"24,MD,MARYLAND,311,561,15056"
"47,TN,TENNESSEE,289,521,12381"
"34,NJ,NEW JERSEY,288,499,16357"
"31,NE,NEBRASKA,255,447,7338"
"05,AR,ARKANSAS,207,414,5050"
"09,CT,CONNECTICUT,181,283,8338"
"22,LA,LOUISIANA,173,310,5170"
"45,SC,SOUTH CAROLINA,168,272,5546"
"01,AL,ALABAMA,158,283,6934"
"21,KY,KENTUCKY,148,269,5159"
"46,SD,SOUTH DAKOTA,145,235,3973"
"38,ND,NORTH DAKOTA,140,226,3247"
"33,NH,NEW HAMPSHIRE,133,223,5533"
"50,VT,VERMONT,126,184,4379"
"23,ME,MAINE,106,171,3031"
"28,MS,MISSISSIPPI,100,176,2772"
"44,RI,RHODE ISLAND,92,154,3374"
"11,DC,DISTRICT OF COLUMBIA,91,124,3683"
"54,WV,WEST VIRGINIA,48,107,1685"
"10,DE,DELAWARE,34,53,1007"
