"2002 - 2003 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,51-VIRGINIA,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,VA,VA Total Mig - US & For,125905,239640,5722218"
"97,VA,VA Total Mig - US,114320,217456,5334054"
"98,VA,VA Total Mig - Foreign,11585,22184,388164"
"51,VA,VA Non-Migrants,2633895,5669217,147797331"
"24,MD,MARYLAND,12028,21199,634152"
"57,FR,Foreign,11585,22184,388164"
"37,NC,NORTH CAROLINA,9824,19125,374827"
"12,FL,FLORIDA,8682,16586,376989"
"36,NY,NEW YORK,8091,14736,327890"
"06,CA,CALIFORNIA,7702,15616,400486"
"42,PA,PENNSYLVANIA,6043,10122,252065"
"48,TX,TEXAS,5575,11520,326018"
"11,DC,DISTRICT OF COLUMBIA,5329,8436,327047"
"13,GA,GEORGIA,4130,8447,202181"
"34,NJ,NEW JERSEY,4113,7780,217018"
"39,OH,OHIO,3181,5707,139640"
"45,SC,SOUTH CAROLINA,2880,5650,117606"
"47,TN,TENNESSEE,2793,5452,101461"
"17,IL,ILLINOIS,2675,5266,131325"
"25,MA,MASSACHUSETTS,2541,4376,133019"
"54,WV,WEST VIRGINIA,2431,4513,84213"
"08,CO,COLORADO,1814,3548,95595"
"53,WA,WASHINGTON,1754,3787,83363"
"26,MI,MICHIGAN,1708,3129,75258"
"09,CT,CONNECTICUT,1640,3002,89678"
"01,AL,ALABAMA,1356,2905,60458"
"04,AZ,ARIZONA,1338,2556,62036"
"21,KY,KENTUCKY,1216,2512,49561"
"18,IN,INDIANA,1172,2249,46731"
"29,MO,MISSOURI,1136,2223,51898"
"22,LA,LOUISIANA,1133,2218,44854"
"15,HI,HAWAII,1030,2611,48933"
"55,WI,WISCONSIN,790,1433,35582"
"28,MS,MISSISSIPPI,784,1689,26860"
"40,OK,OKLAHOMA,750,1575,32557"
"20,KS,KANSAS,720,1685,35057"
"27,MN,MINNESOTA,694,1180,32852"
"49,UT,UTAH,656,1438,26563"
"10,DE,DELAWARE,630,1170,29776"
"44,RI,RHODE ISLAND,603,1328,29110"
"32,NV,NEVADA,541,1097,26236"
"35,NM,NEW MEXICO,540,1138,28448"
"33,NH,NEW HAMPSHIRE,515,985,24658"
"23,ME,MAINE,483,927,17198"
"41,OR,OREGON,482,844,17969"
"05,AR,ARKANSAS,476,938,17281"
"19,IA,IOWA,438,800,18139"
"31,NE,NEBRASKA,371,787,16252"
"02,AK,ALASKA,370,887,16288"
"50,VT,VERMONT,308,544,10698"
"16,ID,IDAHO,240,562,13429"
"30,MT,MONTANA,179,339,7164"
"46,SD,SOUTH DAKOTA,166,312,7038"
"38,ND,NORTH DAKOTA,142,275,5413"
"56,WY,WYOMING,127,252,5187"
