"2002 - 2003 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,54-WEST VIRGINIA,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,WV,WV Total Mig - US & For,19097,37926,648853"
"97,WV,WV Total Mig - US,18548,37135,640177"
"98,WV,WV Total Mig - Foreign,549,791,8676"
"54,WV,WV Non-Migrants,612735,1336666,23713842"
"51,VA,VIRGINIA,3005,6351,123360"
"39,OH,OHIO,2877,5471,74285"
"24,MD,MARYLAND,2301,4654,92976"
"37,NC,NORTH CAROLINA,1510,3093,38527"
"42,PA,PENNSYLVANIA,1367,2586,46088"
"12,FL,FLORIDA,1188,2196,35421"
"21,KY,KENTUCKY,629,1299,18371"
"57,FR,Foreign,549,791,8676"
"48,TX,TEXAS,527,1086,21584"
"45,SC,SOUTH CAROLINA,461,871,12513"
"13,GA,GEORGIA,441,953,14737"
"47,TN,TENNESSEE,398,820,12470"
"06,CA,CALIFORNIA,395,780,18301"
"36,NY,NEW YORK,365,707,13637"
"26,MI,MICHIGAN,278,587,9633"
"18,IN,INDIANA,259,587,9112"
"17,IL,ILLINOIS,237,449,9148"
"34,NJ,NEW JERSEY,212,411,9472"
"08,CO,COLORADO,151,288,4717"
"04,AZ,ARIZONA,145,300,5895"
"01,AL,ALABAMA,134,273,4618"
"25,MA,MASSACHUSETTS,126,243,6450"
"53,WA,WASHINGTON,120,224,4815"
"55,WI,WISCONSIN,106,215,3984"
"22,LA,LOUISIANA,103,218,3972"
"29,MO,MISSOURI,95,192,4153"
"10,DE,DELAWARE,81,156,3196"
"40,OK,OKLAHOMA,79,174,2399"
"32,NV,NEVADA,73,162,2562"
"28,MS,MISSISSIPPI,71,158,2546"
"09,CT,CONNECTICUT,70,141,3360"
"11,DC,DISTRICT OF COLUMBIA,62,97,3636"
"20,KS,KANSAS,61,149,2359"
"49,UT,UTAH,61,132,2060"
"05,AR,ARKANSAS,57,113,1513"
"41,OR,OREGON,47,93,1523"
"27,MN,MINNESOTA,45,85,2034"
"35,NM,NEW MEXICO,44,81,1937"
"33,NH,NEW HAMPSHIRE,42,71,1524"
"15,HI,HAWAII,37,68,1253"
"23,ME,MAINE,36,72,1098"
"56,WY,WYOMING,36,86,1605"
"19,IA,IOWA,34,81,1559"
"02,AK,ALASKA,33,70,957"
"31,NE,NEBRASKA,32,63,952"
"16,ID,IDAHO,28,63,734"
"30,MT,MONTANA,22,39,422"
"44,RI,RHODE ISLAND,21,38,718"
"50,VT,VERMONT,21,43,1003"
"46,SD,SOUTH DAKOTA,13,18,488"
"38,ND,NORTH DAKOTA,12,28,496"
