"2002 - 2003 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,55-WISCONSIN,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,WI,WI Total Mig - US & For,44499,83964,1887807"
"97,WI,WI Total Mig - US,42561,81371,1859785"
"98,WI,WI Total Mig - Foreign,1938,2593,28022"
"55,WI,WI Non-Migrants,2093673,4543290,105055477"
"17,IL,ILLINOIS,9315,18173,420563"
"27,MN,MINNESOTA,7267,13297,307749"
"06,CA,CALIFORNIA,2358,4505,101953"
"26,MI,MICHIGAN,2345,4246,86573"
"12,FL,FLORIDA,2113,3733,86687"
"57,FR,Foreign,1938,2593,28022"
"48,TX,TEXAS,1686,3550,73618"
"19,IA,IOWA,1445,2660,57896"
"04,AZ,ARIZONA,1128,2042,43722"
"08,CO,COLORADO,1055,1924,43595"
"18,IN,INDIANA,1029,2087,41929"
"39,OH,OHIO,991,1999,56419"
"36,NY,NEW YORK,804,1437,39614"
"29,MO,MISSOURI,773,1556,40302"
"13,GA,GEORGIA,701,1419,37727"
"37,NC,NORTH CAROLINA,687,1386,32286"
"42,PA,PENNSYLVANIA,643,1386,36065"
"51,VA,VIRGINIA,636,1281,29947"
"53,WA,WASHINGTON,632,1185,23905"
"47,TN,TENNESSEE,479,923,17671"
"25,MA,MASSACHUSETTS,418,740,24873"
"41,OR,OREGON,373,619,15730"
"20,KS,KANSAS,351,708,18189"
"32,NV,NEVADA,332,636,11331"
"34,NJ,NEW JERSEY,329,633,20565"
"24,MD,MARYLAND,328,599,17903"
"31,NE,NEBRASKA,297,641,13380"
"05,AR,ARKANSAS,287,598,10186"
"21,KY,KENTUCKY,275,544,10569"
"46,SD,SOUTH DAKOTA,271,517,9040"
"45,SC,SOUTH CAROLINA,263,527,10867"
"49,UT,UTAH,255,577,9959"
"28,MS,MISSISSIPPI,249,524,6676"
"38,ND,NORTH DAKOTA,233,424,7588"
"40,OK,OKLAHOMA,227,445,9195"
"01,AL,ALABAMA,207,442,7512"
"09,CT,CONNECTICUT,200,391,15370"
"35,NM,NEW MEXICO,198,375,6903"
"22,LA,LOUISIANA,191,354,6541"
"02,AK,ALASKA,170,339,7441"
"30,MT,MONTANA,167,334,5077"
"15,HI,HAWAII,145,242,5170"
"16,ID,IDAHO,138,277,4277"
"56,WY,WYOMING,96,195,4156"
"33,NH,NEW HAMPSHIRE,89,176,5393"
"11,DC,DISTRICT OF COLUMBIA,83,109,3504"
"23,ME,MAINE,75,151,3958"
"54,WV,WEST VIRGINIA,69,139,3147"
"50,VT,VERMONT,62,116,2674"
"44,RI,RHODE ISLAND,50,96,1961"
"10,DE,DELAWARE,46,114,2428"
