"2002 - 2003 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,05-ARKANSAS,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,AR,AR Total Mig - US & For,27599,56762,889963"
"97,AR,AR Total Mig - US,27044,55768,875189"
"98,AR,AR Total Mig - Foreign,555,994,14774"
"05,AR,AR Non-Migrants,879590,1985349,34212749"
"48,TX,TEXAS,5101,10649,161040"
"29,MO,MISSOURI,2620,5376,74996"
"40,OK,OKLAHOMA,2567,5561,68851"
"47,TN,TENNESSEE,1923,3853,68907"
"12,FL,FLORIDA,1459,2896,56564"
"06,CA,CALIFORNIA,1393,2743,41596"
"22,LA,LOUISIANA,1192,2471,36399"
"28,MS,MISSISSIPPI,943,2092,34399"
"17,IL,ILLINOIS,834,1691,25986"
"13,GA,GEORGIA,718,1406,23175"
"20,KS,KANSAS,589,1272,18485"
"57,FR,Foreign,555,994,14774"
"04,AZ,ARIZONA,518,1007,15817"
"37,NC,NORTH CAROLINA,487,1020,18492"
"01,AL,ALABAMA,485,1095,19415"
"51,VA,VIRGINIA,476,938,17281"
"08,CO,COLORADO,470,940,17991"
"26,MI,MICHIGAN,402,851,11684"
"18,IN,INDIANA,380,818,13388"
"39,OH,OHIO,373,807,14645"
"21,KY,KENTUCKY,338,797,11382"
"53,WA,WASHINGTON,296,594,8511"
"55,WI,WISCONSIN,287,598,10186"
"19,IA,IOWA,268,545,6823"
"45,SC,SOUTH CAROLINA,261,527,9301"
"36,NY,NEW YORK,256,465,7963"
"42,PA,PENNSYLVANIA,228,449,9268"
"32,NV,NEVADA,222,413,5644"
"41,OR,OREGON,207,414,5050"
"35,NM,NEW MEXICO,198,426,6149"
"27,MN,MINNESOTA,170,321,5162"
"31,NE,NEBRASKA,158,307,3985"
"24,MD,MARYLAND,157,300,6192"
"02,AK,ALASKA,118,274,3899"
"34,NJ,NEW JERSEY,110,232,5506"
"49,UT,UTAH,96,219,7947"
"16,ID,IDAHO,86,179,2129"
"25,MA,MASSACHUSETTS,82,143,2914"
"15,HI,HAWAII,81,143,2356"
"56,WY,WYOMING,70,146,1876"
"30,MT,MONTANA,60,128,1639"
"46,SD,SOUTH DAKOTA,58,110,1777"
"54,WV,WEST VIRGINIA,57,113,1513"
"09,CT,CONNECTICUT,52,103,2156"
"23,ME,MAINE,47,78,2056"
"33,NH,NEW HAMPSHIRE,36,59,871"
"11,DC,DISTRICT OF COLUMBIA,34,43,1413"
"38,ND,NORTH DAKOTA,26,53,715"
"44,RI,RHODE ISLAND,23,36,826"
"10,DE,DELAWARE,22,48,665"
"50,VT,VERMONT,10,19,204"
