"2002 - 2003 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,08-COLORADO,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,CO,CO Total Mig - US & For,76886,143478,3154229"
"97,CO,CO Total Mig - US,74081,138257,3064103"
"98,CO,CO Total Mig - Foreign,2805,5221,90126"
"08,CO,CO Non-Migrants,1592042,3404148,86573523"
"06,CA,CALIFORNIA,9177,16175,380825"
"48,TX,TEXAS,7056,14464,286004"
"04,AZ,ARIZONA,4597,8668,198752"
"12,FL,FLORIDA,4375,7971,206071"
"57,FR,Foreign,2805,5221,90126"
"35,NM,NEW MEXICO,2553,5031,88440"
"53,WA,WASHINGTON,2472,4427,108659"
"17,IL,ILLINOIS,2157,3650,94902"
"36,NY,NEW YORK,1961,2992,73692"
"51,VA,VIRGINIA,1814,3548,95595"
"41,OR,OREGON,1794,3046,66059"
"29,MO,MISSOURI,1768,3494,66565"
"32,NV,NEVADA,1767,3277,79113"
"56,WY,WYOMING,1739,3271,72606"
"20,KS,KANSAS,1734,3461,59498"
"31,NE,NEBRASKA,1667,3283,64358"
"49,UT,UTAH,1550,3341,63995"
"13,GA,GEORGIA,1499,2849,62758"
"37,NC,NORTH CAROLINA,1466,2815,65527"
"40,OK,OKLAHOMA,1443,2875,49043"
"42,PA,PENNSYLVANIA,1399,2549,70633"
"39,OH,OHIO,1394,2589,59874"
"27,MN,MINNESOTA,1390,2490,59493"
"26,MI,MICHIGAN,1286,2324,52211"
"30,MT,MONTANA,1104,2072,38395"
"55,WI,WISCONSIN,1055,1924,43595"
"25,MA,MASSACHUSETTS,1020,1462,43807"
"19,IA,IOWA,993,1838,34629"
"24,MD,MARYLAND,922,1691,46406"
"16,ID,IDAHO,906,1887,34914"
"18,IN,INDIANA,905,1755,34238"
"47,TN,TENNESSEE,897,1846,39233"
"15,HI,HAWAII,720,1332,25484"
"34,NJ,NEW JERSEY,707,1201,38876"
"46,SD,SOUTH DAKOTA,639,1203,25609"
"45,SC,SOUTH CAROLINA,636,1195,24161"
"22,LA,LOUISIANA,621,1191,20316"
"02,AK,ALASKA,597,1118,20151"
"01,AL,ALABAMA,562,1198,22047"
"05,AR,ARKANSAS,539,1112,19333"
"21,KY,KENTUCKY,531,1117,19127"
"09,CT,CONNECTICUT,477,793,30553"
"28,MS,MISSISSIPPI,391,704,12924"
"38,ND,NORTH DAKOTA,323,576,10665"
"23,ME,MAINE,322,566,12111"
"33,NH,NEW HAMPSHIRE,291,517,12083"
"50,VT,VERMONT,266,406,8407"
"11,DC,DISTRICT OF COLUMBIA,180,252,6620"
"44,RI,RHODE ISLAND,169,257,6215"
"54,WV,WEST VIRGINIA,151,288,4717"
"10,DE,DELAWARE,99,166,4810"
