"2002 - 2003 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,16-IDAHO,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,ID,ID Total Mig - US & For,19243,38749,607129"
"97,ID,ID Total Mig - US,18681,37754,592991"
"98,ID,ID Total Mig - Foreign,562,995,14138"
"16,ID,ID Non-Migrants,435083,1034099,18568661"
"53,WA,WASHINGTON,3568,6937,113482"
"06,CA,CALIFORNIA,2124,4013,66268"
"49,UT,UTAH,1946,4142,55335"
"41,OR,OREGON,1845,3648,51043"
"04,AZ,ARIZONA,938,1846,29019"
"32,NV,NEVADA,829,1659,26476"
"48,TX,TEXAS,758,1699,23660"
"30,MT,MONTANA,748,1564,23748"
"08,CO,COLORADO,673,1343,24613"
"57,FR,Foreign,562,995,14138"
"12,FL,FLORIDA,431,830,17024"
"02,AK,ALASKA,360,765,12600"
"56,WY,WYOMING,350,762,11471"
"51,VA,VIRGINIA,240,562,13429"
"29,MO,MISSOURI,219,508,5397"
"35,NM,NEW MEXICO,203,426,7124"
"13,GA,GEORGIA,199,450,7532"
"17,IL,ILLINOIS,179,352,5832"
"37,NC,NORTH CAROLINA,175,323,5327"
"36,NY,NEW YORK,172,285,4367"
"27,MN,MINNESOTA,170,323,6102"
"40,OK,OKLAHOMA,147,354,3689"
"42,PA,PENNSYLVANIA,147,274,4802"
"26,MI,MICHIGAN,142,295,4703"
"39,OH,OHIO,138,279,3787"
"55,WI,WISCONSIN,138,277,4277"
"20,KS,KANSAS,134,290,4593"
"15,HI,HAWAII,133,238,3297"
"47,TN,TENNESSEE,129,272,4293"
"19,IA,IOWA,122,284,3839"
"24,MD,MARYLAND,110,224,4253"
"45,SC,SOUTH CAROLINA,109,221,3465"
"46,SD,SOUTH DAKOTA,108,255,3552"
"31,NE,NEBRASKA,103,236,3392"
"18,IN,INDIANA,96,205,3384"
"05,AR,ARKANSAS,93,204,3139"
"38,ND,NORTH DAKOTA,88,212,2671"
"22,LA,LOUISIANA,85,157,3314"
"21,KY,KENTUCKY,81,171,2668"
"25,MA,MASSACHUSETTS,76,117,3722"
"34,NJ,NEW JERSEY,64,120,1624"
"01,AL,ALABAMA,59,129,2343"
"28,MS,MISSISSIPPI,45,109,1719"
"09,CT,CONNECTICUT,40,64,1014"
"33,NH,NEW HAMPSHIRE,36,74,1627"
"23,ME,MAINE,32,76,1316"
"54,WV,WEST VIRGINIA,28,63,734"
"50,VT,VERMONT,21,42,671"
"11,DC,DISTRICT OF COLUMBIA,20,20,470"
"44,RI,RHODE ISLAND,16,27,384"
"10,DE,DELAWARE,14,28,398"
