"2002 - 2003 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,31-NEBRASKA,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,NE,NE Total Mig - US & For,21229,41533,814575"
"97,NE,NE Total Mig - US,20738,40671,801590"
"98,NE,NE Total Mig - Foreign,491,862,12985"
"31,NE,NE Non-Migrants,631516,1417287,29014040"
"19,IA,IOWA,2957,5985,98995"
"08,CO,COLORADO,1704,3026,56501"
"48,TX,TEXAS,1543,3234,56118"
"20,KS,KANSAS,1352,2647,46215"
"06,CA,CALIFORNIA,1294,2485,42633"
"29,MO,MISSOURI,1121,2067,39576"
"46,SD,SOUTH DAKOTA,884,1785,30144"
"04,AZ,ARIZONA,883,1612,59380"
"12,FL,FLORIDA,862,1618,54632"
"17,IL,ILLINOIS,681,1228,28044"
"27,MN,MINNESOTA,637,1198,27303"
"57,FR,Foreign,491,862,12985"
"56,WY,WYOMING,469,953,13727"
"53,WA,WASHINGTON,404,843,14978"
"51,VA,VIRGINIA,371,787,16252"
"40,OK,OKLAHOMA,343,722,11674"
"55,WI,WISCONSIN,297,641,13380"
"13,GA,GEORGIA,295,633,11241"
"32,NV,NEVADA,288,531,12961"
"39,OH,OHIO,280,533,10242"
"37,NC,NORTH CAROLINA,266,529,11080"
"41,OR,OREGON,255,447,7338"
"18,IN,INDIANA,240,512,10382"
"36,NY,NEW YORK,238,390,7604"
"05,AR,ARKANSAS,231,508,9731"
"26,MI,MICHIGAN,230,449,8978"
"47,TN,TENNESSEE,208,430,6985"
"42,PA,PENNSYLVANIA,178,355,9043"
"35,NM,NEW MEXICO,173,321,4797"
"24,MD,MARYLAND,170,316,6939"
"22,LA,LOUISIANA,153,323,5490"
"49,UT,UTAH,153,348,5205"
"01,AL,ALABAMA,144,330,7347"
"45,SC,SOUTH CAROLINA,138,276,5590"
"16,ID,IDAHO,134,325,4314"
"30,MT,MONTANA,134,284,4636"
"38,ND,NORTH DAKOTA,131,272,4261"
"25,MA,MASSACHUSETTS,127,205,4658"
"21,KY,KENTUCKY,119,244,4516"
"34,NJ,NEW JERSEY,108,190,5280"
"28,MS,MISSISSIPPI,100,222,3977"
"15,HI,HAWAII,94,206,4112"
"02,AK,ALASKA,89,182,3416"
"09,CT,CONNECTICUT,67,127,3616"
"23,ME,MAINE,45,89,1764"
"11,DC,DISTRICT OF COLUMBIA,41,49,1246"
"54,WV,WEST VIRGINIA,32,63,952"
"33,NH,NEW HAMPSHIRE,25,40,860"
"44,RI,RHODE ISLAND,24,45,2211"
"50,VT,VERMONT,14,34,666"
"10,DE,DELAWARE,12,32,597"
