"2002 - 2003 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,33-NEW HAMPSHIRE,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,NH,NH Total Mig - US & For,21749,37021,929181"
"97,NH,NH Total Mig - US,21281,36261,915506"
"98,NH,NH Total Mig - Foreign,468,760,13675"
"33,NH,NH Non-Migrants,490514,1050303,27230248"
"25,MA,MASSACHUSETTS,5572,8687,245020"
"12,FL,FLORIDA,2566,4638,116540"
"23,ME,MAINE,2393,4244,101063"
"50,VT,VERMONT,1292,2150,41685"
"36,NY,NEW YORK,1085,1768,42854"
"06,CA,CALIFORNIA,955,1511,39576"
"09,CT,CONNECTICUT,640,1063,31549"
"51,VA,VIRGINIA,515,985,24658"
"37,NC,NORTH CAROLINA,503,956,21664"
"42,PA,PENNSYLVANIA,479,899,21472"
"57,FR,Foreign,468,760,13675"
"48,TX,TEXAS,426,843,21440"
"04,AZ,ARIZONA,343,619,13304"
"13,GA,GEORGIA,325,598,13939"
"08,CO,COLORADO,316,474,11274"
"44,RI,RHODE ISLAND,314,479,18398"
"34,NJ,NEW JERSEY,312,533,13930"
"45,SC,SOUTH CAROLINA,271,504,12911"
"39,OH,OHIO,258,508,12248"
"24,MD,MARYLAND,241,384,10364"
"17,IL,ILLINOIS,208,361,9777"
"53,WA,WASHINGTON,184,280,6415"
"47,TN,TENNESSEE,177,333,5883"
"26,MI,MICHIGAN,159,300,8431"
"32,NV,NEVADA,139,240,5743"
"41,OR,OREGON,133,223,5533"
"18,IN,INDIANA,119,240,5520"
"21,KY,KENTUCKY,114,207,4062"
"49,UT,UTAH,97,211,4189"
"29,MO,MISSOURI,96,197,3500"
"55,WI,WISCONSIN,89,176,5393"
"27,MN,MINNESOTA,88,170,3954"
"35,NM,NEW MEXICO,83,134,2984"
"11,DC,DISTRICT OF COLUMBIA,68,74,2047"
"20,KS,KANSAS,63,121,2307"
"30,MT,MONTANA,62,101,1972"
"15,HI,HAWAII,61,88,1781"
"01,AL,ALABAMA,60,113,2429"
"40,OK,OKLAHOMA,59,123,2475"
"02,AK,ALASKA,54,71,1434"
"19,IA,IOWA,49,97,1988"
"22,LA,LOUISIANA,49,89,1869"
"16,ID,IDAHO,42,83,1459"
"54,WV,WEST VIRGINIA,42,71,1524"
"10,DE,DELAWARE,38,76,2575"
"28,MS,MISSISSIPPI,37,58,1483"
"05,AR,ARKANSAS,33,66,1465"
"31,NE,NEBRASKA,26,49,1690"
"56,WY,WYOMING,22,31,771"
"46,SD,SOUTH DAKOTA,14,21,785"
"38,ND,NORTH DAKOTA,10,14,176"
