"2002 - 2003 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,36-NEW YORK,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,NY,NY Total Mig - US & For,189318,345588,9680940"
"97,NY,NY Total Mig - US,180739,331213,9230315"
"98,NY,NY Total Mig - Foreign,8579,14375,450624"
"36,NY,NY Non-Migrants,6807878,14275620,369783849"
"12,FL,FLORIDA,32361,62079,1497118"
"34,NJ,NEW JERSEY,29089,56355,1967263"
"42,PA,PENNSYLVANIA,13797,27871,581215"
"06,CA,CALIFORNIA,12428,18205,678906"
"09,CT,CONNECTICUT,9904,18419,867710"
"57,FR,Foreign,8579,14375,450624"
"51,VA,VIRGINIA,8091,14736,327890"
"37,NC,NORTH CAROLINA,8030,15505,300029"
"25,MA,MASSACHUSETTS,8013,12149,383653"
"13,GA,GEORGIA,6217,12445,253000"
"48,TX,TEXAS,5451,10409,255648"
"24,MD,MARYLAND,5372,9409,226782"
"39,OH,OHIO,3360,6135,147296"
"45,SC,SOUTH CAROLINA,3301,6297,130432"
"17,IL,ILLINOIS,3131,4974,173248"
"04,AZ,ARIZONA,2909,5053,130404"
"08,CO,COLORADO,2179,3410,102774"
"26,MI,MICHIGAN,2008,3845,94292"
"53,WA,WASHINGTON,1782,2949,84192"
"32,NV,NEVADA,1690,2903,74137"
"47,TN,TENNESSEE,1576,3018,63489"
"11,DC,DISTRICT OF COLUMBIA,1467,1805,77189"
"44,RI,RHODE ISLAND,1414,2521,58171"
"50,VT,VERMONT,1394,2184,70600"
"18,IN,INDIANA,1067,2104,47585"
"33,NH,NEW HAMPSHIRE,1061,1854,56052"
"29,MO,MISSOURI,1014,1884,44777"
"27,MN,MINNESOTA,1003,1854,57517"
"10,DE,DELAWARE,998,1917,42316"
"23,ME,MAINE,955,1678,62229"
"01,AL,ALABAMA,906,1716,31078"
"22,LA,LOUISIANA,827,1427,27260"
"41,OR,OREGON,816,1223,32540"
"55,WI,WISCONSIN,804,1437,39614"
"21,KY,KENTUCKY,794,1548,32347"
"15,HI,HAWAII,735,1190,25315"
"35,NM,NEW MEXICO,619,996,32237"
"20,KS,KANSAS,518,1117,24039"
"40,OK,OKLAHOMA,506,917,14044"
"49,UT,UTAH,425,767,20887"
"19,IA,IOWA,366,653,13014"
"54,WV,WEST VIRGINIA,365,707,13637"
"28,MS,MISSISSIPPI,327,590,10540"
"02,AK,ALASKA,308,560,8687"
"05,AR,ARKANSAS,297,591,10905"
"31,NE,NEBRASKA,281,533,11158"
"30,MT,MONTANA,236,356,9340"
"16,ID,IDAHO,218,426,8843"
"56,WY,WYOMING,122,170,2957"
"46,SD,SOUTH DAKOTA,110,183,3172"
"38,ND,NORTH DAKOTA,97,139,2787"
