"2002 - 2003 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,48-TEXAS,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,TX,TX Total Mig - US & For,170420,344830,7325710"
"97,TX,TX Total Mig - US,159267,322623,6901972"
"98,TX,TX Total Mig - Foreign,11153,22207,423738"
"48,TX,TX Non-Migrants,7073844,16377008,329104751"
"06,CA,CALIFORNIA,17135,32183,795162"
"12,FL,FLORIDA,12101,23823,535767"
"57,FR,Foreign,11153,22207,423738"
"40,OK,OKLAHOMA,8979,19062,325450"
"22,LA,LOUISIANA,8108,16444,300755"
"08,CO,COLORADO,6688,13523,325817"
"13,GA,GEORGIA,6227,13419,282480"
"04,AZ,ARIZONA,6159,12423,263207"
"35,NM,NEW MEXICO,6014,12588,192998"
"51,VA,VIRGINIA,5575,11520,326018"
"05,AR,ARKANSAS,5401,11403,194604"
"17,IL,ILLINOIS,5221,10337,238920"
"37,NC,NORTH CAROLINA,4864,10319,212308"
"36,NY,NEW YORK,4647,7789,206059"
"29,MO,MISSOURI,4163,8442,164915"
"53,WA,WASHINGTON,4019,8166,179726"
"47,TN,TENNESSEE,3707,7995,166266"
"39,OH,OHIO,3345,6801,154867"
"20,KS,KANSAS,2936,6388,119696"
"26,MI,MICHIGAN,2908,6184,126890"
"42,PA,PENNSYLVANIA,2900,5858,143547"
"24,MD,MARYLAND,2706,5499,135226"
"18,IN,INDIANA,2498,5222,94431"
"01,AL,ALABAMA,2485,5484,104900"
"32,NV,NEVADA,2446,4679,102418"
"28,MS,MISSISSIPPI,2273,4807,75242"
"27,MN,MINNESOTA,2085,4557,91233"
"45,SC,SOUTH CAROLINA,1985,4090,78111"
"21,KY,KENTUCKY,1915,4179,75472"
"34,NJ,NEW JERSEY,1849,3466,115660"
"55,WI,WISCONSIN,1686,3550,73618"
"41,OR,OREGON,1652,3107,65397"
"25,MA,MASSACHUSETTS,1597,2709,85358"
"15,HI,HAWAII,1403,2829,45894"
"49,UT,UTAH,1345,3039,56491"
"19,IA,IOWA,1321,2802,47421"
"31,NE,NEBRASKA,1314,2787,47763"
"09,CT,CONNECTICUT,1073,2045,82942"
"02,AK,ALASKA,1016,2194,38686"
"16,ID,IDAHO,840,1822,32162"
"30,MT,MONTANA,639,1314,23151"
"56,WY,WYOMING,594,1243,22118"
"54,WV,WEST VIRGINIA,527,1086,21584"
"11,DC,DISTRICT OF COLUMBIA,498,671,26002"
"46,SD,SOUTH DAKOTA,497,957,18075"
"38,ND,NORTH DAKOTA,435,870,12485"
"23,ME,MAINE,391,770,15545"
"33,NH,NEW HAMPSHIRE,339,702,22615"
"10,DE,DELAWARE,327,677,15500"
"44,RI,RHODE ISLAND,270,493,12139"
"50,VT,VERMONT,164,306,8879"
