"2002 - 2003 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,49-UTAH,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,UT,UT Total Mig - US & For,29051,63774,1065589"
"97,UT,UT Total Mig - US,28328,62393,1040041"
"98,UT,UT Total Mig - Foreign,723,1381,25548"
"49,UT,UT Non-Migrants,715461,1849341,34077493"
"06,CA,CALIFORNIA,4629,9759,171591"
"04,AZ,ARIZONA,2415,5615,83303"
"32,NV,NEVADA,2264,4947,76313"
"16,ID,IDAHO,2026,4869,66620"
"08,CO,COLORADO,1686,3483,62895"
"48,TX,TEXAS,1588,3669,64529"
"53,WA,WASHINGTON,1566,3345,58732"
"41,OR,OREGON,1080,2312,36187"
"12,FL,FLORIDA,842,1739,35395"
"57,FR,Foreign,723,1381,25548"
"56,WY,WYOMING,678,1517,23423"
"51,VA,VIRGINIA,656,1438,26563"
"35,NM,NEW MEXICO,554,1380,16270"
"36,NY,NEW YORK,491,876,15968"
"30,MT,MONTANA,467,1020,15605"
"17,IL,ILLINOIS,459,981,18567"
"13,GA,GEORGIA,440,1001,19756"
"37,NC,NORTH CAROLINA,387,797,12590"
"39,OH,OHIO,383,867,14385"
"29,MO,MISSOURI,370,928,12896"
"24,MD,MARYLAND,350,799,15509"
"42,PA,PENNSYLVANIA,334,718,13947"
"26,MI,MICHIGAN,297,673,12164"
"02,AK,ALASKA,281,618,11336"
"27,MN,MINNESOTA,281,641,15367"
"25,MA,MASSACHUSETTS,280,549,12014"
"15,HI,HAWAII,269,556,7739"
"18,IN,INDIANA,262,654,9231"
"55,WI,WISCONSIN,255,577,9959"
"40,OK,OKLAHOMA,225,535,7444"
"47,TN,TENNESSEE,217,501,8665"
"20,KS,KANSAS,194,485,7514"
"19,IA,IOWA,189,452,7157"
"31,NE,NEBRASKA,173,390,5463"
"21,KY,KENTUCKY,170,412,6587"
"34,NJ,NEW JERSEY,168,317,6510"
"09,CT,CONNECTICUT,165,331,7225"
"45,SC,SOUTH CAROLINA,161,363,5631"
"01,AL,ALABAMA,143,356,6076"
"46,SD,SOUTH DAKOTA,130,254,4135"
"22,LA,LOUISIANA,128,284,3024"
"05,AR,ARKANSAS,127,312,5500"
"28,MS,MISSISSIPPI,95,219,3203"
"33,NH,NEW HAMPSHIRE,90,175,2841"
"23,ME,MAINE,75,153,4430"
"38,ND,NORTH DAKOTA,65,117,1908"
"50,VT,VERMONT,63,112,2014"
"54,WV,WEST VIRGINIA,61,132,2060"
"11,DC,DISTRICT OF COLUMBIA,46,58,1952"
"44,RI,RHODE ISLAND,31,62,1177"
"10,DE,DELAWARE,22,45,670"
