"2003 - 2004 State To State Migration Flows - OUTFLOW","","","","",""
"(Aggregate Money Amounts Are In Thousands)","","","","",""
"","","","","",""
"FROM: 46-SOUTH DAKOTA","","","","","AGGREGATE"
"","","","","","ADJUSTED"
"","","","NUMBER OF","NUMBER OF","GROSS"
"","","","RETURNS","EXEMPTIONS","INCOME"
"TO:","","","","",""
"96.0","SD","SD Total Mig - US & For","10465.0","19310.0","362523.0"
"97.0","SD","SD Total Mig - US","10219.0","18876.0","356979.0"
"98.0","SD","SD Total Mig - Foreign","246.0","434.0","5544.0"
"46.0","SD","SD Non-Migrants","279710.0","618512.0","12079780.0"
"27.0","MN","MINNESOTA","1566.0","2678.0","45711.0"
"31.0","NE","NEBRASKA","797.0","1462.0","23507.0"
"19.0","IA","IOWA","733.0","1414.0","23281.0"
"8.0","CO","COLORADO","605.0","984.0","19068.0"
"38.0","ND","NORTH DAKOTA","591.0","1134.0","16564.0"
"4.0","AZ","ARIZONA","511.0","883.0","19027.0"
"6.0","CA","CALIFORNIA","507.0","883.0","14644.0"
"48.0","TX","TEXAS","425.0","829.0","13399.0"
"56.0","WY","WYOMING","408.0","812.0","11486.0"
"12.0","FL","FLORIDA","368.0","643.0","12257.0"
"30.0","MT","MONTANA","276.0","529.0","38420.0"
"55.0","WI","WISCONSIN","253.0","542.0","11970.0"
"53.0","WA","WASHINGTON","247.0","446.0","7757.0"
"57.0","FR","Foreign","246.0","434.0","5544.0"
"20.0","KS","KANSAS","200.0","386.0","6753.0"
"17.0","IL","ILLINOIS","199.0","351.0","7550.0"
"29.0","MO","MISSOURI","188.0","355.0","5920.0"
"32.0","NV","NEVADA","173.0","292.0","5417.0"
"37.0","NC","NORTH CAROLINA","157.0","299.0","3133.0"
"41.0","OR","OREGON","127.0","193.0","3719.0"
"51.0","VA","VIRGINIA","127.0","249.0","6453.0"
"35.0","NM","NEW MEXICO","119.0","238.0","3767.0"
"13.0","GA","GEORGIA","109.0","207.0","3317.0"
"40.0","OK","OKLAHOMA","108.0","220.0","3304.0"
"49.0","UT","UTAH","104.0","240.0","3244.0"
"26.0","MI","MICHIGAN","102.0","196.0","2563.0"
"36.0","NY","NEW YORK","98.0","178.0","2684.0"
"5.0","AR","ARKANSAS","97.0","209.0","6213.0"
"47.0","TN","TENNESSEE","97.0","189.0","2746.0"
"2.0","AK","ALASKA","94.0","197.0","3135.0"
"39.0","OH","OHIO","94.0","184.0","3164.0"
"16.0","ID","IDAHO","85.0","179.0","2766.0"
"18.0","IN","INDIANA","76.0","188.0","3304.0"
"42.0","PA","PENNSYLVANIA","73.0","150.0","2287.0"
"24.0","MD","MARYLAND","58.0","124.0","1862.0"
"21.0","KY","KENTUCKY","51.0","93.0","1896.0"
"34.0","NJ","NEW JERSEY","49.0","94.0","2056.0"
"1.0","AL","ALABAMA","46.0","93.0","1780.0"
"45.0","SC","SOUTH CAROLINA","43.0","70.0","1308.0"
"22.0","LA","LOUISIANA","39.0","72.0","1100.0"
"25.0","MA","MASSACHUSETTS","36.0","48.0","2716.0"
"15.0","HI","HAWAII","34.0","66.0","1090.0"
"28.0","MS","MISSISSIPPI","28.0","64.0","895.0"
"9.0","CT","CONNECTICUT","25.0","41.0","866.0"
"54.0","WV","WEST VIRGINIA","19.0","40.0","680.0"
"11.0","DC","DISTRICT OF COLUMBIA","18.0","23.0","700.0"
"23.0","ME","MAINE","17.0","31.0","371.0"
"10.0","DE","DELAWARE","16.0","30.0","373.0"
"33.0","NH","NEW HAMPSHIRE","13.0","25.0","338.0"
"50.0","VT","VERMONT","8.0","13.0","200.0"
"44.0","RI","RHODE ISLAND","5.0","10.0","217.0"
