"2004 - 2005 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 11-DISTRICTOFCOLUMBIA,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
"FROM:,,,,,"
"96,DC,DC Total Mig - US & For,24688,33307,1126090"
"97,DC,DC Total Mig - US,22545,30819,1074341"
"98,DC,DC Total Mig - Foreign,2143,2488,51749"
"11,DC,DC Non-Migrants,198168,343943,12676656"
"24,MD,MARYLAND,6500,10821,278404"
"51,VA,VIRGINIA,4521,5872,261650"
"57,FR,Foreign,2143,2488,51749"
"36,NY,NEW YORK,1545,1867,83481"
"6,CA,CALIFORNIA,1267,1544,57276"
"25,MA,MASSACHUSETTS,851,961,39748"
"42,PA,PENNSYLVANIA,830,935,34210"
"12,FL,FLORIDA,643,820,29874"
"48,TX,TEXAS,561,726,25678"
"37,NC,NORTH CAROLINA,510,678,18528"
"17,IL,ILLINOIS,508,598,23984"
"34,NJ,NEW JERSEY,486,598,22860"
"13,GA,GEORGIA,413,536,17353"
"39,OH,OHIO,347,392,12848"
"9,CT,CONNECTICUT,301,355,25403"
"26,MI,MICHIGAN,287,321,24078"
"53,WA,WASHINGTON,228,292,11279"
"8,CO,COLORADO,188,243,7409"
"27,MN,MINNESOTA,182,210,6900"
"45,SC,SOUTH CAROLINA,161,257,5053"
"47,TN,TENNESSEE,157,201,5817"
"29,MO,MISSOURI,154,203,5556"
"55,WI,WISCONSIN,143,168,5285"
"18,IN,INDIANA,133,156,4812"
"22,LA,LOUISIANA,124,164,4555"
"4,AZ,ARIZONA,114,153,4931"
"41,OR,OREGON,100,121,3379"
"1,AL,ALABAMA,95,124,4267"
"33,NH,NEW HAMPSHIRE,92,102,3224"
"44,RI,RHODE ISLAND,86,106,3850"
"10,DE,DELAWARE,81,104,4899"
"21,KY,KENTUCKY,73,84,2864"
"20,KS,KANSAS,71,90,2795"
"50,VT,VERMONT,71,73,2288"
"40,OK,OKLAHOMA,70,89,2689"
"19,IA,IOWA,66,69,2386"
"23,ME,MAINE,66,71,2776"
"35,NM,NEW MEXICO,60,80,3401"
"28,MS,MISSISSIPPI,57,68,1759"
"54,WV,WEST VIRGINIA,54,78,4097"
"5,AR,ARKANSAS,51,57,1474"
"49,UT,UTAH,42,61,1437"
"15,HI,HAWAII,39,84,2071"
"32,NV,NEVADA,37,52,2022"
"30,MT,MONTANA,33,41,756"
"31,NE,NEBRASKA,32,38,848"
"46,SD,SOUTH DAKOTA,29,33,1065"
"16,ID,IDAHO,28,37,1136"
"2,AK,ALASKA,25,41,867"
"56,WY,WYOMING,17,22,437"
"38,ND,NORTH DAKOTA,16,23,583"
