"2004 - 2005 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 16-IDAHO,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
"FROM:,,,,,"
"96,ID,ID Total Mig - US & For,25745,55033,1071044"
"97,ID,ID Total Mig - US,25003,53755,1054322"
"98,ID,ID Total Mig - Foreign,742,1278,16721"
"16,ID,ID Non-Migrants,448781,1064500,20800363"
"6,CA,CALIFORNIA,5639,12777,272786"
"53,WA,WASHINGTON,4023,8181,179124"
"41,OR,OREGON,2096,4357,76294"
"49,UT,UTAH,2070,5162,73539"
"32,NV,NEVADA,1260,2714,50215"
"4,AZ,ARIZONA,1057,2286,41438"
"30,MT,MONTANA,951,1831,29194"
"8,CO,COLORADO,904,1899,42255"
"48,TX,TEXAS,864,1930,34110"
"57,FR,Foreign,742,1278,16721"
"56,WY,WYOMING,555,1150,20097"
"12,FL,FLORIDA,467,865,21206"
"2,AK,ALASKA,407,864,18684"
"17,IL,ILLINOIS,266,532,12627"
"51,VA,VIRGINIA,256,586,13993"
"39,OH,OHIO,214,394,8089"
"26,MI,MICHIGAN,205,409,7755"
"27,MN,MINNESOTA,204,405,9029"
"36,NY,NEW YORK,202,383,7705"
"29,MO,MISSOURI,196,432,7076"
"37,NC,NORTH CAROLINA,195,395,7455"
"35,NM,NEW MEXICO,193,401,7075"
"42,PA,PENNSYLVANIA,183,374,8588"
"13,GA,GEORGIA,177,376,6839"
"19,IA,IOWA,159,341,6933"
"20,KS,KANSAS,159,380,5991"
"40,OK,OKLAHOMA,155,313,4334"
"55,WI,WISCONSIN,154,282,7875"
"18,IN,INDIANA,147,306,3936"
"15,HI,HAWAII,136,304,4481"
"47,TN,TENNESSEE,132,261,4949"
"31,NE,NEBRASKA,129,295,5087"
"38,ND,NORTH DAKOTA,120,240,4083"
"24,MD,MARYLAND,108,244,4779"
"46,SD,SOUTH DAKOTA,106,206,3680"
"25,MA,MASSACHUSETTS,98,183,4993"
"45,SC,SOUTH CAROLINA,90,175,4847"
"21,KY,KENTUCKY,87,181,3568"
"1,AL,ALABAMA,85,196,4469"
"5,AR,ARKANSAS,82,171,2800"
"34,NJ,NEW JERSEY,78,160,4181"
"22,LA,LOUISIANA,73,165,2736"
"28,MS,MISSISSIPPI,65,147,2132"
"9,CT,CONNECTICUT,63,134,4304"
"23,ME,MAINE,46,95,2450"
"33,NH,NEW HAMPSHIRE,38,61,1509"
"50,VT,VERMONT,31,62,1883"
"10,DE,DELAWARE,27,61,1455"
"44,RI,RHODE ISLAND,22,36,689"
"54,WV,WEST VIRGINIA,17,28,356"
"11,DC,DISTRICT OF COLUMBIA,12,25,648"
