"2004 - 2005 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 22-LOUISIANA,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
"FROM:,,,,,"
"96,LA,LA Total Mig - US & For,36644,72449,1339423"
"97,LA,LA Total Mig - US,34531,69068,1302492"
"98,LA,LA Total Mig - Foreign,2113,3381,36931"
"22,LA,LA Non-Migrants,1478903,3373085,64346958"
"48,TX,TEXAS,7775,15931,298353"
"28,MS,MISSISSIPPI,2885,6062,98251"
"12,FL,FLORIDA,2549,4789,99933"
"6,CA,CALIFORNIA,2277,4396,78695"
"57,FR,Foreign,2113,3381,36931"
"13,GA,GEORGIA,1648,3400,56354"
"1,AL,ALABAMA,1196,2400,50539"
"5,AR,ARKANSAS,1150,2382,37113"
"36,NY,NEW YORK,1051,1928,44639"
"37,NC,NORTH CAROLINA,1001,2160,36201"
"51,VA,VIRGINIA,933,1909,42496"
"17,IL,ILLINOIS,896,1635,32610"
"47,TN,TENNESSEE,886,1823,32435"
"39,OH,OHIO,698,1373,32168"
"29,MO,MISSOURI,667,1324,22939"
"40,OK,OKLAHOMA,609,1337,25830"
"26,MI,MICHIGAN,605,1191,25594"
"8,CO,COLORADO,592,1152,22189"
"53,WA,WASHINGTON,496,971,17032"
"42,PA,PENNSYLVANIA,494,920,18183"
"45,SC,SOUTH CAROLINA,484,972,17819"
"4,AZ,ARIZONA,468,897,17308"
"24,MD,MARYLAND,428,852,18958"
"18,IN,INDIANA,403,789,18792"
"21,KY,KENTUCKY,373,838,12785"
"34,NJ,NEW JERSEY,373,688,17478"
"20,KS,KANSAS,324,713,12621"
"55,WI,WISCONSIN,324,626,13463"
"25,MA,MASSACHUSETTS,305,505,10441"
"32,NV,NEVADA,298,592,9519"
"35,NM,NEW MEXICO,204,398,7667"
"41,OR,OREGON,203,356,6235"
"27,MN,MINNESOTA,196,359,5587"
"15,HI,HAWAII,193,434,6005"
"2,AK,ALASKA,179,424,6502"
"9,CT,CONNECTICUT,158,277,7706"
"31,NE,NEBRASKA,158,329,5223"
"19,IA,IOWA,152,282,4271"
"54,WV,WEST VIRGINIA,101,201,3312"
"49,UT,UTAH,99,213,3318"
"11,DC,DISTRICT OF COLUMBIA,82,108,3902"
"23,ME,MAINE,80,131,3692"
"16,ID,IDAHO,78,143,2141"
"44,RI,RHODE ISLAND,77,140,3121"
"56,WY,WYOMING,72,142,2307"
"33,NH,NEW HAMPSHIRE,68,115,2254"
"30,MT,MONTANA,61,114,1531"
"38,ND,NORTH DAKOTA,51,110,2370"
"46,SD,SOUTH DAKOTA,49,90,1492"
"10,DE,DELAWARE,47,96,2304"
"50,VT,VERMONT,35,51,814"
