"2004 - 2005 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 32-NEVADA,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
"FROM:,,,,,"
"96,NV,NV Total Mig - US & For,67335,127364,3143223"
"97,NV,NV Total Mig - US,65624,124485,3077969"
"98,NV,NV Total Mig - Foreign,1711,2879,65254"
"32,NV,NV Non-Migrants,791527,1689104,45906340"
"6,CA,CALIFORNIA,25885,52025,1204598"
"4,AZ,ARIZONA,3128,5938,129188"
"48,TX,TEXAS,2670,5198,115025"
"12,FL,FLORIDA,2375,4086,135885"
"36,NY,NEW YORK,2334,3960,103543"
"49,UT,UTAH,2266,5075,176795"
"53,WA,WASHINGTON,2247,4102,113446"
"17,IL,ILLINOIS,2129,3830,106300"
"8,CO,COLORADO,1768,3167,76678"
"57,FR,Foreign,1711,2879,65254"
"41,OR,OREGON,1509,2684,54010"
"39,OH,OHIO,1399,2341,66186"
"15,HI,HAWAII,1292,2437,47152"
"26,MI,MICHIGAN,1191,2068,48940"
"16,ID,IDAHO,978,1994,36144"
"42,PA,PENNSYLVANIA,963,1581,42532"
"34,NJ,NEW JERSEY,956,1673,50889"
"51,VA,VIRGINIA,795,1428,44460"
"35,NM,NEW MEXICO,736,1385,26286"
"27,MN,MINNESOTA,723,1174,37353"
"55,WI,WISCONSIN,693,1130,27023"
"13,GA,GEORGIA,664,1255,34713"
"18,IN,INDIANA,661,1176,28979"
"29,MO,MISSOURI,644,1148,30068"
"25,MA,MASSACHUSETTS,587,901,28443"
"37,NC,NORTH CAROLINA,562,1079,16550"
"2,AK,ALASKA,471,840,18399"
"30,MT,MONTANA,471,850,20816"
"24,MD,MARYLAND,465,850,30209"
"40,OK,OKLAHOMA,453,865,21677"
"47,TN,TENNESSEE,411,725,15790"
"20,KS,KANSAS,408,736,36182"
"22,LA,LOUISIANA,384,714,14735"
"19,IA,IOWA,363,617,16582"
"31,NE,NEBRASKA,339,641,14872"
"56,WY,WYOMING,321,585,14345"
"9,CT,CONNECTICUT,281,466,12533"
"45,SC,SOUTH CAROLINA,274,555,11156"
"28,MS,MISSISSIPPI,233,448,9420"
"5,AR,ARKANSAS,228,428,7681"
"21,KY,KENTUCKY,225,388,8344"
"1,AL,ALABAMA,194,378,6812"
"46,SD,SOUTH DAKOTA,173,288,7554"
"38,ND,NORTH DAKOTA,168,293,6348"
"33,NH,NEW HAMPSHIRE,161,282,5913"
"44,RI,RHODE ISLAND,113,189,4781"
"23,ME,MAINE,89,155,3478"
"54,WV,WEST VIRGINIA,71,118,1850"
"11,DC,DISTRICT OF COLUMBIA,66,88,3414"
"50,VT,VERMONT,54,70,1516"
"10,DE,DELAWARE,53,81,2375"
