"2004 - 2005 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 35-NEWMEXICO,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
"FROM:,,,,,"
"96,NM,NM Total Mig - US & For,31251,62782,1241613"
"97,NM,NM Total Mig - US,29916,60202,1199597"
"98,NM,NM Total Mig - Foreign,1335,2580,42016"
"35,NM,NM Non-Migrants,630091,1390000,27109525"
"48,TX,TEXAS,5857,12638,214632"
"6,CA,CALIFORNIA,4036,7957,183222"
"4,AZ,ARIZONA,3404,7625,115165"
"8,CO,COLORADO,2409,4806,88815"
"57,FR,Foreign,1335,2580,42016"
"12,FL,FLORIDA,1103,2014,43562"
"32,NV,NEVADA,778,1629,33387"
"53,WA,WASHINGTON,727,1323,27645"
"36,NY,NEW YORK,726,1218,32258"
"17,IL,ILLINOIS,688,1194,28666"
"40,OK,OKLAHOMA,606,1273,20813"
"49,UT,UTAH,536,1295,19442"
"39,OH,OHIO,494,939,25038"
"51,VA,VIRGINIA,489,956,31141"
"42,PA,PENNSYLVANIA,466,781,24154"
"13,GA,GEORGIA,441,893,21431"
"20,KS,KANSAS,428,964,15295"
"41,OR,OREGON,403,723,14810"
"26,MI,MICHIGAN,376,664,15753"
"29,MO,MISSOURI,367,686,12961"
"37,NC,NORTH CAROLINA,365,690,12109"
"25,MA,MASSACHUSETTS,352,594,18344"
"24,MD,MARYLAND,330,618,17852"
"27,MN,MINNESOTA,327,558,14984"
"55,WI,WISCONSIN,269,471,9474"
"18,IN,INDIANA,260,511,10623"
"47,TN,TENNESSEE,254,483,10602"
"22,LA,LOUISIANA,252,508,11342"
"34,NJ,NEW JERSEY,246,464,10986"
"2,AK,ALASKA,238,524,9474"
"56,WY,WYOMING,224,449,8428"
"16,ID,IDAHO,211,439,8138"
"30,MT,MONTANA,204,413,7036"
"5,AR,ARKANSAS,195,386,5983"
"19,IA,IOWA,186,309,7087"
"31,NE,NEBRASKA,182,382,8524"
"15,HI,HAWAII,169,354,6360"
"45,SC,SOUTH CAROLINA,167,334,8675"
"1,AL,ALABAMA,152,313,5861"
"9,CT,CONNECTICUT,149,265,4253"
"28,MS,MISSISSIPPI,128,269,4365"
"21,KY,KENTUCKY,122,205,3971"
"46,SD,SOUTH DAKOTA,111,228,3568"
"23,ME,MAINE,95,165,3944"
"33,NH,NEW HAMPSHIRE,78,145,3517"
"38,ND,NORTH DAKOTA,70,143,2661"
"50,VT,VERMONT,63,96,1999"
"11,DC,DISTRICT OF COLUMBIA,52,66,4037"
"44,RI,RHODE ISLAND,45,78,2049"
"10,DE,DELAWARE,44,93,2239"
"54,WV,WEST VIRGINIA,42,71,2923"
