"2004 - 2005 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 56-WYOMING,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
"FROM:,,,,,"
"96,WY,WY Total Mig - US & For,11429,22196,463689"
"97,WY,WY Total Mig - US,11063,21579,456927"
"98,WY,WY Total Mig - Foreign,366,617,6762"
"56,WY,WY Non-Migrants,182848,396564,9759775"
"8,CO,COLORADO,1618,3060,61190"
"6,CA,CALIFORNIA,868,1701,35106"
"49,UT,UTAH,741,1681,26154"
"30,MT,MONTANA,708,1373,24239"
"48,TX,TEXAS,675,1433,36571"
"31,NE,NEBRASKA,499,1021,18082"
"46,SD,SOUTH DAKOTA,454,869,14629"
"4,AZ,ARIZONA,422,772,14130"
"16,ID,IDAHO,374,778,12378"
"57,FR,Foreign,366,617,6762"
"53,WA,WASHINGTON,349,655,15602"
"32,NV,NEVADA,278,551,10325"
"41,OR,OREGON,251,469,7860"
"12,FL,FLORIDA,239,420,12049"
"35,NM,NEW MEXICO,193,433,7127"
"40,OK,OKLAHOMA,183,430,6592"
"17,IL,ILLINOIS,182,327,10548"
"27,MN,MINNESOTA,164,312,5140"
"29,MO,MISSOURI,164,309,2994"
"26,MI,MICHIGAN,162,300,6852"
"36,NY,NEW YORK,159,239,17846"
"42,PA,PENNSYLVANIA,154,244,5863"
"39,OH,OHIO,149,268,5694"
"38,ND,NORTH DAKOTA,147,301,5462"
"51,VA,VIRGINIA,142,240,6830"
"55,WI,WISCONSIN,140,233,17439"
"20,KS,KANSAS,138,294,4981"
"2,AK,ALASKA,124,260,5513"
"19,IA,IOWA,122,223,3755"
"13,GA,GEORGIA,120,264,4058"
"37,NC,NORTH CAROLINA,111,165,5416"
"22,LA,LOUISIANA,106,236,6309"
"18,IN,INDIANA,95,184,3372"
"47,TN,TENNESSEE,79,155,2467"
"5,AR,ARKANSAS,69,153,2237"
"25,MA,MASSACHUSETTS,66,91,2257"
"45,SC,SOUTH CAROLINA,66,136,1760"
"21,KY,KENTUCKY,62,114,2134"
"1,AL,ALABAMA,61,130,2145"
"34,NJ,NEW JERSEY,58,103,8544"
"24,MD,MARYLAND,53,105,2935"
"28,MS,MISSISSIPPI,52,99,1725"
"15,HI,HAWAII,51,110,1684"
"23,ME,MAINE,51,78,1414"
"9,CT,CONNECTICUT,46,70,2890"
"33,NH,NEW HAMPSHIRE,39,49,1727"
"50,VT,VERMONT,31,46,851"
"54,WV,WEST VIRGINIA,27,52,1066"
"44,RI,RHODE ISLAND,9,21,483"
"11,DC,DISTRICT OF COLUMBIA,7,17,402"
"10,DE,DELAWARE,5,5,101"
