"2004 - 2005 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"FROM: 11-DISTRICTOFCOLUMBIA,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
"TO:,,,,,"
"96,DC,DC Total Mig - US & For,24124,39544,1350957"
"97,DC,DC Total Mig - US,23403,38365,1313340"
"98,DC,DC Total Mig - Foreign,721,1179,37618"
"11,DC,DC Non-Migrants,198168,343943,12676656"
"24,MD,MARYLAND,10144,19416,486633"
"51,VA,VIRGINIA,4492,6770,275479"
"36,NY,NEW YORK,1357,1645,100683"
"6,CA,CALIFORNIA,1074,1390,66485"
"57,FR,Foreign,721,1179,37618"
"12,FL,FLORIDA,679,1027,64084"
"42,PA,PENNSYLVANIA,507,674,24851"
"37,NC,NORTH CAROLINA,505,856,22640"
"25,MA,MASSACHUSETTS,499,594,29410"
"48,TX,TEXAS,406,616,31913"
"17,IL,ILLINOIS,364,476,19391"
"13,GA,GEORGIA,344,543,17035"
"34,NJ,NEW JERSEY,294,386,16817"
"39,OH,OHIO,198,287,8195"
"53,WA,WASHINGTON,184,253,13814"
"45,SC,SOUTH CAROLINA,164,284,6980"
"8,CO,COLORADO,163,253,12637"
"9,CT,CONNECTICUT,162,213,9029"
"26,MI,MICHIGAN,154,201,6962"
"4,AZ,ARIZONA,122,185,6605"
"41,OR,OREGON,111,135,6600"
"27,MN,MINNESOTA,108,151,6204"
"47,TN,TENNESSEE,108,143,4778"
"29,MO,MISSOURI,90,132,4188"
"10,DE,DELAWARE,89,134,8452"
"55,WI,WISCONSIN,89,112,9716"
"22,LA,LOUISIANA,82,108,3902"
"54,WV,WEST VIRGINIA,73,115,3792"
"18,IN,INDIANA,71,101,3238"
"1,AL,ALABAMA,68,124,2506"
"32,NV,NEVADA,66,88,3414"
"15,HI,HAWAII,62,98,3105"
"21,KY,KENTUCKY,54,79,2403"
"35,NM,NEW MEXICO,52,66,4037"
"44,RI,RHODE ISLAND,44,62,5105"
"23,ME,MAINE,43,53,3039"
"19,IA,IOWA,39,44,1406"
"33,NH,NEW HAMPSHIRE,39,51,2271"
"28,MS,MISSISSIPPI,37,63,1440"
"50,VT,VERMONT,36,51,2236"
"40,OK,OKLAHOMA,35,52,1256"
"20,KS,KANSAS,34,55,2065"
"31,NE,NEBRASKA,31,63,1463"
"49,UT,UTAH,31,43,1630"
"5,AR,ARKANSAS,24,40,1320"
"2,AK,ALASKA,20,31,860"
"30,MT,MONTANA,18,33,1550"
"16,ID,IDAHO,12,25,648"
"38,ND,NORTH DAKOTA,9,11,370"
"46,SD,SOUTH DAKOTA,9,16,299"
"56,WY,WYOMING,7,17,402"
