"2004 - 2005 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"FROM: 19-IOWA,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
"TO:,,,,,"
"96,IA,IA Total Mig - US & For,30945,56372,1238064"
"97,IA,IA Total Mig - US,30420,55526,1220514"
"98,IA,IA Total Mig - Foreign,525,846,17551"
"19,IA,IA Non-Migrants,1074860,2389605,53432634"
"17,IL,ILLINOIS,3903,6839,157795"
"31,NE,NEBRASKA,3163,5852,101993"
"27,MN,MINNESOTA,2447,4237,97473"
"29,MO,MISSOURI,1996,3803,78836"
"48,TX,TEXAS,1641,3232,58120"
"6,CA,CALIFORNIA,1621,2665,55694"
"12,FL,FLORIDA,1440,2535,79590"
"4,AZ,ARIZONA,1316,2219,57435"
"55,WI,WISCONSIN,1292,2404,56985"
"8,CO,COLORADO,1095,1778,38012"
"46,SD,SOUTH DAKOTA,1084,2043,48365"
"20,KS,KANSAS,862,1664,33734"
"37,NC,NORTH CAROLINA,531,994,21088"
"57,FR,Foreign,525,846,17551"
"53,WA,WASHINGTON,513,935,25022"
"18,IN,INDIANA,480,1027,23935"
"39,OH,OHIO,451,875,20012"
"26,MI,MICHIGAN,442,930,18757"
"36,NY,NEW YORK,427,703,16033"
"47,TN,TENNESSEE,427,817,16360"
"51,VA,VIRGINIA,417,764,17329"
"13,GA,GEORGIA,400,821,18507"
"5,AR,ARKANSAS,366,776,16025"
"32,NV,NEVADA,363,617,16582"
"40,OK,OKLAHOMA,331,674,12948"
"42,PA,PENNSYLVANIA,327,580,15125"
"41,OR,OREGON,277,505,9153"
"21,KY,KENTUCKY,227,502,10018"
"24,MD,MARYLAND,224,385,9509"
"45,SC,SOUTH CAROLINA,196,386,8371"
"35,NM,NEW MEXICO,186,309,7087"
"25,MA,MASSACHUSETTS,163,232,6835"
"49,UT,UTAH,162,395,5700"
"16,ID,IDAHO,159,341,6933"
"1,AL,ALABAMA,154,315,5953"
"22,LA,LOUISIANA,152,282,4271"
"28,MS,MISSISSIPPI,140,289,4822"
"30,MT,MONTANA,136,249,3550"
"34,NJ,NEW JERSEY,133,229,7007"
"56,WY,WYOMING,122,223,3755"
"38,ND,NORTH DAKOTA,110,214,4203"
"15,HI,HAWAII,107,185,3431"
"2,AK,ALASKA,97,161,2322"
"9,CT,CONNECTICUT,81,150,5756"
"11,DC,DISTRICT OF COLUMBIA,66,69,2386"
"23,ME,MAINE,38,67,1049"
"33,NH,NEW HAMPSHIRE,37,67,1978"
"50,VT,VERMONT,33,46,1428"
"10,DE,DELAWARE,31,55,1343"
"54,WV,WEST VIRGINIA,30,48,1056"
"44,RI,RHODE ISLAND,24,38,845"
