"2004 - 2005 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"FROM: 21-KENTUCKY,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
"TO:,,,,,"
"96,KY,KY Total Mig - US & For,39819,79125,1552237"
"97,KY,KY Total Mig - US,38781,77017,1518698"
"98,KY,KY Total Mig - Foreign,1038,2108,33538"
"21,KY,KY Non-Migrants,1401084,3107603,64610062"
"47,TN,TENNESSEE,5375,10766,174870"
"39,OH,OHIO,4933,9037,180295"
"18,IN,INDIANA,4633,9188,156007"
"12,FL,FLORIDA,3881,7150,202320"
"13,GA,GEORGIA,1712,3784,65467"
"48,TX,TEXAS,1696,3708,76018"
"17,IL,ILLINOIS,1451,2775,54304"
"37,NC,NORTH CAROLINA,1438,3003,80253"
"6,CA,CALIFORNIA,1240,2253,47613"
"51,VA,VIRGINIA,1124,2275,45591"
"57,FR,Foreign,1038,2108,33538"
"1,AL,ALABAMA,833,1868,33528"
"26,MI,MICHIGAN,810,1675,35696"
"29,MO,MISSOURI,774,1614,30191"
"36,NY,NEW YORK,740,1361,25828"
"45,SC,SOUTH CAROLINA,712,1471,29305"
"42,PA,PENNSYLVANIA,617,1241,28172"
"54,WV,WEST VIRGINIA,607,1259,20128"
"4,AZ,ARIZONA,540,1062,21943"
"8,CO,COLORADO,462,957,15416"
"22,LA,LOUISIANA,373,838,12785"
"53,WA,WASHINGTON,373,748,13465"
"24,MD,MARYLAND,362,699,15270"
"28,MS,MISSISSIPPI,337,697,11231"
"40,OK,OKLAHOMA,324,727,10221"
"5,AR,ARKANSAS,322,686,11359"
"55,WI,WISCONSIN,302,613,12111"
"20,KS,KANSAS,300,749,12664"
"34,NJ,NEW JERSEY,238,439,11130"
"32,NV,NEVADA,225,388,8344"
"25,MA,MASSACHUSETTS,207,338,8058"
"27,MN,MINNESOTA,195,375,8512"
"49,UT,UTAH,147,373,6901"
"19,IA,IOWA,142,296,5256"
"41,OR,OREGON,141,267,3914"
"2,AK,ALASKA,139,331,4224"
"15,HI,HAWAII,125,284,4720"
"35,NM,NEW MEXICO,122,205,3971"
"9,CT,CONNECTICUT,111,194,5741"
"16,ID,IDAHO,87,181,3568"
"23,ME,MAINE,78,140,3004"
"31,NE,NEBRASKA,77,157,2748"
"11,DC,DISTRICT OF COLUMBIA,73,84,2864"
"10,DE,DELAWARE,64,112,2384"
"30,MT,MONTANA,64,128,1600"
"56,WY,WYOMING,62,114,2134"
"33,NH,NEW HAMPSHIRE,60,112,2807"
"46,SD,SOUTH DAKOTA,47,93,1217"
"44,RI,RHODE ISLAND,40,60,1198"
"38,ND,NORTH DAKOTA,39,87,1381"
"50,VT,VERMONT,27,55,973"
