"2004 - 2005 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"FROM: 25-MASSACHUSETTS,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
"TO:,,,,,"
"96,MA,MA Total Mig - US & For,86546,147611,4797345"
"97,MA,MA Total Mig - US,83464,142506,4667156"
"98,MA,MA Total Mig - Foreign,3082,5105,130189"
"25,MA,MA Non-Migrants,2407474,4967221,160735837"
"12,FL,FLORIDA,13429,24905,796091"
"33,NH,NEW HAMPSHIRE,9856,17980,618225"
"36,NY,NEW YORK,8498,12081,411797"
"6,CA,CALIFORNIA,6840,9997,380943"
"9,CT,CONNECTICUT,4570,7442,259533"
"44,RI,RHODE ISLAND,4459,7286,208483"
"57,FR,Foreign,3082,5105,130189"
"23,ME,MAINE,2930,5249,155394"
"51,VA,VIRGINIA,2626,4514,146650"
"37,NC,NORTH CAROLINA,2615,5194,156818"
"42,PA,PENNSYLVANIA,2429,4297,143617"
"34,NJ,NEW JERSEY,2320,3885,156402"
"48,TX,TEXAS,2146,4137,133190"
"13,GA,GEORGIA,1958,3999,102849"
"17,IL,ILLINOIS,1561,2460,96415"
"4,AZ,ARIZONA,1494,2556,89476"
"24,MD,MARYLAND,1464,2430,81586"
"50,VT,VERMONT,1382,2186,65597"
"8,CO,COLORADO,1166,1687,64104"
"45,SC,SOUTH CAROLINA,1069,2108,57869"
"53,WA,WASHINGTON,1051,1709,62722"
"39,OH,OHIO,1050,1977,68568"
"11,DC,DISTRICT OF COLUMBIA,851,961,39748"
"26,MI,MICHIGAN,725,1200,38095"
"47,TN,TENNESSEE,649,1245,30030"
"32,NV,NEVADA,587,901,28443"
"41,OR,OREGON,572,904,28460"
"27,MN,MINNESOTA,477,844,30509"
"18,IN,INDIANA,444,791,22308"
"29,MO,MISSOURI,421,771,27746"
"55,WI,WISCONSIN,369,648,19305"
"35,NM,NEW MEXICO,352,594,18344"
"15,HI,HAWAII,329,498,11426"
"22,LA,LOUISIANA,305,505,10441"
"1,AL,ALABAMA,293,572,12065"
"49,UT,UTAH,285,563,12786"
"21,KY,KENTUCKY,273,500,12962"
"20,KS,KANSAS,178,348,8453"
"10,DE,DELAWARE,177,304,10421"
"28,MS,MISSISSIPPI,166,333,5175"
"19,IA,IOWA,157,259,6480"
"40,OK,OKLAHOMA,151,291,6292"
"5,AR,ARKANSAS,145,310,6000"
"30,MT,MONTANA,109,174,3318"
"16,ID,IDAHO,98,183,4993"
"54,WV,WEST VIRGINIA,98,175,3759"
"2,AK,ALASKA,97,154,3307"
"31,NE,NEBRASKA,97,172,4444"
"56,WY,WYOMING,66,91,2257"
"46,SD,SOUTH DAKOTA,46,75,2201"
"38,ND,NORTH DAKOTA,34,61,1058"
