"2004 - 2005 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"FROM: 26-MICHIGAN,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
"TO:,,,,,"
"96,MI,MI Total Mig - US & For,77518,142172,3629381"
"97,MI,MI Total Mig - US,75182,137928,3527717"
"98,MI,MI Total Mig - Foreign,2336,4244,101664"
"26,MI,MI Non-Migrants,3620677,7999736,194728424"
"12,FL,FLORIDA,10882,19371,637268"
"17,IL,ILLINOIS,5350,8548,239098"
"39,OH,OHIO,5315,10100,242074"
"6,CA,CALIFORNIA,5045,8272,216966"
"18,IN,INDIANA,4546,8898,181051"
"48,TX,TEXAS,3775,7856,175150"
"4,AZ,ARIZONA,2985,5385,144604"
"13,GA,GEORGIA,2871,5777,122496"
"47,TN,TENNESSEE,2711,5603,109441"
"37,NC,NORTH CAROLINA,2603,4823,110414"
"55,WI,WISCONSIN,2560,4663,104850"
"57,FR,Foreign,2336,4244,101664"
"36,NY,NEW YORK,2328,3668,96153"
"51,VA,VIRGINIA,2106,3829,96286"
"8,CO,COLORADO,1589,2622,83545"
"42,PA,PENNSYLVANIA,1417,2700,73671"
"21,KY,KENTUCKY,1302,2690,55508"
"27,MN,MINNESOTA,1264,2332,67184"
"45,SC,SOUTH CAROLINA,1217,2397,57576"
"29,MO,MISSOURI,1212,2449,54922"
"32,NV,NEVADA,1191,2068,48940"
"53,WA,WASHINGTON,1188,2127,60075"
"1,AL,ALABAMA,1149,2440,47165"
"24,MD,MARYLAND,983,1665,43606"
"25,MA,MASSACHUSETTS,866,1344,46801"
"34,NJ,NEW JERSEY,842,1579,61537"
"22,LA,LOUISIANA,605,1191,25594"
"41,OR,OREGON,605,988,23037"
"5,AR,ARKANSAS,576,1232,22096"
"28,MS,MISSISSIPPI,537,1151,20532"
"40,OK,OKLAHOMA,493,924,16188"
"19,IA,IOWA,492,1014,21243"
"9,CT,CONNECTICUT,423,844,38639"
"20,KS,KANSAS,418,812,17013"
"35,NM,NEW MEXICO,376,664,15753"
"49,UT,UTAH,356,706,17208"
"15,HI,HAWAII,340,495,9862"
"2,AK,ALASKA,328,557,9553"
"11,DC,DISTRICT OF COLUMBIA,287,321,24078"
"30,MT,MONTANA,263,452,9783"
"31,NE,NEBRASKA,252,476,12036"
"54,WV,WEST VIRGINIA,242,529,9793"
"16,ID,IDAHO,205,409,7755"
"23,ME,MAINE,184,314,7004"
"33,NH,NEW HAMPSHIRE,162,288,10661"
"56,WY,WYOMING,162,300,6852"
"10,DE,DELAWARE,135,239,6340"
"46,SD,SOUTH DAKOTA,130,250,5388"
"38,ND,NORTH DAKOTA,123,236,5953"
"50,VT,VERMONT,103,175,4492"
"44,RI,RHODE ISLAND,88,155,4483"
