"2004 - 2005 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"FROM: 27-MINNESOTA,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
"TO:,,,,,"
"96,MN,MN Total Mig - US & For,46714,83466,2240101"
"97,MN,MN Total Mig - US,45627,81732,2198591"
"98,MN,MN Total Mig - Foreign,1087,1734,41510"
"27,MN,MN Non-Migrants,1907225,4166736,114418965"
"55,WI,WISCONSIN,7064,13059,334859"
"6,CA,CALIFORNIA,3348,5271,168120"
"12,FL,FLORIDA,2940,5304,220998"
"38,ND,NORTH DAKOTA,2917,4688,88850"
"4,AZ,ARIZONA,2422,4139,129696"
"48,TX,TEXAS,2394,4862,107453"
"17,IL,ILLINOIS,2311,4053,111606"
"19,IA,IOWA,2044,3823,77598"
"46,SD,SOUTH DAKOTA,1721,3024,60153"
"8,CO,COLORADO,1552,2461,65119"
"36,NY,NEW YORK,1136,1670,66322"
"53,WA,WASHINGTON,1103,1898,48938"
"57,FR,Foreign,1087,1734,41510"
"29,MO,MISSOURI,892,1756,39420"
"26,MI,MICHIGAN,876,1672,44539"
"13,GA,GEORGIA,837,1716,40028"
"37,NC,NORTH CAROLINA,784,1538,37707"
"51,VA,VIRGINIA,741,1359,37213"
"32,NV,NEVADA,723,1174,37353"
"39,OH,OHIO,662,1321,44776"
"41,OR,OREGON,622,1019,22742"
"18,IN,INDIANA,613,1202,27485"
"42,PA,PENNSYLVANIA,606,1112,37684"
"31,NE,NEBRASKA,570,1160,24714"
"25,MA,MASSACHUSETTS,511,813,32260"
"47,TN,TENNESSEE,498,1022,23643"
"30,MT,MONTANA,479,786,14764"
"24,MD,MARYLAND,447,735,21263"
"20,KS,KANSAS,440,845,21484"
"34,NJ,NEW JERSEY,339,594,28145"
"40,OK,OKLAHOMA,330,671,10895"
"35,NM,NEW MEXICO,327,558,14984"
"2,AK,ALASKA,324,536,11124"
"5,AR,ARKANSAS,324,823,16111"
"49,UT,UTAH,271,601,13227"
"45,SC,SOUTH CAROLINA,267,544,14168"
"21,KY,KENTUCKY,246,479,9293"
"15,HI,HAWAII,231,373,11065"
"9,CT,CONNECTICUT,219,399,24550"
"16,ID,IDAHO,204,405,9029"
"1,AL,ALABAMA,198,390,9417"
"22,LA,LOUISIANA,196,359,5587"
"11,DC,DISTRICT OF COLUMBIA,182,210,6900"
"28,MS,MISSISSIPPI,168,337,5176"
"56,WY,WYOMING,164,312,5140"
"23,ME,MAINE,110,194,5172"
"33,NH,NEW HAMPSHIRE,71,122,3092"
"44,RI,RHODE ISLAND,57,78,2085"
"50,VT,VERMONT,53,87,2997"
"10,DE,DELAWARE,50,90,2122"
"54,WV,WEST VIRGINIA,43,88,1528"
